timestamp,tempm,elec_load,heat_load,cool_load
1/1/12 00:00,-8.3,661,561,79.5
1/1/12 01:00,-11.9,676.4,612.2,36.5
1/1/12 02:00,-11.3,675,594.6,41
1/1/12 03:00,-11.1,674.5,596.6,42.4
1/1/12 04:00,-10.8,674.1,595.5,44.7
1/1/12 05:00,-10.6,673.5,595.6,46
1/1/12 06:00,-10.6,672.2,601.6,45.7
1/1/12 07:00,-10.2,659,602.7,48.9
1/1/12 08:00,-9.3,782.4,517.6,55.9
1/1/12 09:00,-7.5,787.4,489.1,81.9
1/1/12 10:00,-5.6,783.1,460.1,106.7
1/1/12 11:00,-3.9,775.2,436.3,129.8
1/1/12 12:00,-2.6,766.5,425,148.8
1/1/12 13:00,-1.5,761.1,413.1,164.9
1/1/12 14:00,-1.1,755.7,405.8,171.9
1/1/12 15:00,-1.1,747.4,406.3,172.6
1/1/12 16:00,-1.1,624.6,446.3,159.2
1/1/12 17:00,-1.5,628.8,453.8,176.2
1/1/12 18:00,-2,629.4,471.6,162.6
1/1/12 19:00,-1.5,628.8,473.5,165.5
1/1/12 20:00,-1.5,623.3,465.2,167.9
1/1/12 21:00,-1.3,621.5,470.6,167.5
1/1/12 22:00,-1.5,622.3,478.6,166.7
1/1/12 23:00,-1.7,629.4,482.2,163
1/2/12 00:00,-3.1,648,490.1,148.8
1/2/12 01:00,-3.2,649.1,496.7,142.5
1/2/12 02:00,-3.1,652.2,497,144.8
1/2/12 03:00,-3,650.8,492.8,145.5
1/2/12 04:00,-1.7,648.5,485.6,161
1/2/12 05:00,-1.1,647.3,478.2,170.5
1/2/12 06:00,-0.8,647.6,471.6,175.5
1/2/12 07:00,-0.6,848.8,400,174.9
1/2/12 08:00,-0.2,1069.4,340.4,184.4
1/2/12 09:00,0.4,1108.2,316.2,199.7
1/2/12 10:00,1.3,1110.3,304.8,208.9
1/2/12 11:00,1.7,1109.7,293,214.9
1/2/12 12:00,1.7,1060.9,280.6,189.5
1/2/12 13:00,0.6,1079.4,282.7,210.3
1/2/12 14:00,-0.4,1068.2,284.7,199.1
1/2/12 15:00,0.2,1068.3,287.6,194.7
1/2/12 16:00,0.6,827.6,345.4,191.4
1/2/12 17:00,-0.2,831,359.7,191.9
1/2/12 18:00,0.2,753.2,361.2,190.2
1/2/12 19:00,0.9,754.9,358.8,199.7
1/2/12 20:00,1.5,752.7,361.5,207
1/2/12 21:00,2,707.2,357,214.5
1/2/12 22:00,0.8,696.7,358.6,204.4
1/2/12 23:00,0,599.3,403.3,182.2
1/3/12 00:00,0,596.2,413.1,189.8
1/3/12 01:00,0,596.5,421.9,186.7
1/3/12 02:00,0.4,598.5,430.7,190.2
1/3/12 03:00,0.2,606.5,433.1,194.7
1/3/12 04:00,-0.7,625,441.8,188.4
1/3/12 05:00,-1.8,637,458.3,168.1
1/3/12 06:00,-2.9,644.9,471.1,142
1/3/12 07:00,-3.3,847.2,408.2,136.3
1/3/12 08:00,-4,1073.4,354.1,138.6
1/3/12 09:00,-4.4,1115.6,334.8,130.8
1/3/12 10:00,-4.1,1116,319.4,134.3
1/3/12 11:00,-3.5,1114.4,306.1,141.5
1/3/12 12:00,-3,1070.9,295.1,149
1/3/12 13:00,-2.8,1113.3,289.9,151.7
1/3/12 14:00,-2.8,1112.3,282.5,152.8
1/3/12 15:00,-2.8,1111.1,278.1,153.1
1/3/12 16:00,-2.8,867.8,342.1,139.3
1/3/12 17:00,-2.8,876.5,365.3,158
1/3/12 18:00,-2.8,801.1,377.9,153.1
1/3/12 19:00,-2.8,797.4,381.3,151.5
1/3/12 20:00,-2.8,792.7,388.2,150.5
1/3/12 21:00,-2.8,752,396.5,149.8
1/3/12 22:00,-2.8,740.4,406.4,149.5
1/3/12 23:00,-2.8,642.8,443.1,149.8
1/4/12 00:00,-2.8,641.3,445,149.2
1/4/12 01:00,-2.8,642,451.5,149.1
1/4/12 02:00,-2.8,642.5,457.4,148.9
1/4/12 03:00,-3.1,642.5,462.8,146.1
1/4/12 04:00,-3.3,642.5,464.9,142.6
1/4/12 05:00,-3.3,642.3,465.2,142.5
1/4/12 06:00,-3,636.1,464.5,145.9
1/4/12 07:00,-2.8,833.4,403.6,144.5
1/4/12 08:00,-2.4,1056.5,337.2,159
1/4/12 09:00,-1.9,1098.3,313.3,164.5
1/4/12 10:00,-1.7,1095.4,299.7,167.2
1/4/12 11:00,-1.3,1090.8,291.1,171.8
1/4/12 12:00,-0.8,1047.1,282.9,179.3
1/4/12 13:00,-0.6,1088.9,278.2,182.1
1/4/12 14:00,-0.9,1085,280.3,178.9
1/4/12 15:00,-1.1,1086.2,286.2,175.1
1/4/12 16:00,-2.2,863.7,354.6,157.2
1/4/12 17:00,-3.5,885,393,147.1
1/4/12 18:00,-4.6,815.9,417.8,130.5
1/4/12 19:00,-5,819,423.9,122.3
1/4/12 20:00,-4.6,817.4,432.2,131.5
1/4/12 21:00,-4.8,777.6,442.4,130.5
1/4/12 22:00,-5.7,774.9,451.7,116.7
1/4/12 23:00,-6.8,683.1,496.7,93.8
1/5/12 00:00,-7.2,683.8,507.5,93.3
