timestamp,heat_load,cool_load,elec_load,tempm
1/1/12 00:00,1.232,0.001,0.424,-8.3
1/1/12 01:00,1.256,0.001,0.424,-7.8
1/1/12 02:00,1.258,0.001,0.424,-8.3
1/1/12 03:00,1.261,0.001,0.424,-7.8
1/1/12 04:00,1.261,0.001,0.424,-7.8
1/1/12 05:00,1.262,0.001,0.424,-7.2
1/1/12 06:00,1.259,0.001,0.424,-6.7
1/1/12 07:00,1.256,0.001,0.424,-6.1
1/1/12 08:00,1.253,0.001,0.412,-5.6
1/1/12 09:00,1.242,0.001,0.406,-3.3
1/1/12 10:00,1.219,0.001,0.406,3.9
1/1/12 11:00,1.196,0.001,0.406,-3.9
1/1/12 12:00,0.985,0.001,0.371,-0.6
1/1/12 13:00,0.903,0.001,0.359,2.2
1/1/12 14:00,0.867,0.001,0.371,3.3
1/1/12 15:00,0.881,0.001,0.359,4.4
1/1/12 16:00,0.669,0.001,0.348,3.3
1/1/12 17:00,0.817,0.001,0.374,0
1/1/12 18:00,0.894,0.001,0.378,-0.6
1/1/12 19:00,0.948,0.001,0.401,-3.3
1/1/12 20:00,1.132,0.001,0.413,-3.3
1/1/12 21:00,1.144,0.001,0.413,-5.6
1/1/12 22:00,1.206,0.001,0.413,-3.3
1/1/12 23:00,1.17,0.001,0.424,-3.3
1/2/12 00:00,1.224,0.001,0.424,-2.8
1/2/12 01:00,1.223,0.001,0.424,-3.3
1/2/12 02:00,1.852,0.001,0.869,-2.8
1/2/12 03:00,2.293,0.001,1.026,-2.2
1/2/12 04:00,2.532,0.001,1.149,-3.9
1/2/12 05:00,2.83,0.001,1.244,-6.7
1/2/12 06:00,2.844,0.001,1.286,-6.1
1/2/12 07:00,2.844,0.001,1.395,-6.7
1/2/12 08:00,2.831,0,1.433,-3.3
1/2/12 09:00,2.79,0.001,1.363,-2.2
1/2/12 10:00,2.78,0.001,1.358,-5
1/2/12 11:00,2.792,0,1.302,-3.9
1/2/12 12:00,2.763,0,1.366,-2.2
1/2/12 13:00,2.729,0.001,1.289,-1.7
1/2/12 14:00,2.719,0,1.192,-1.7
1/2/12 15:00,2.72,0,1.162,-1.7
1/2/12 16:00,2.726,0,1.18,-1.7
1/2/12 17:00,2.243,0.001,0.919,0
1/2/12 18:00,0.977,0.001,0.4,1.1
1/2/12 19:00,0.837,0.001,0.378,1.7
1/2/12 20:00,0.83,0.001,0.378,2.2
1/2/12 21:00,0.826,0.001,0.378,3.9
1/2/12 22:00,0.821,0.001,0.378,3.3
1/2/12 23:00,1.021,0.001,0.402,-1.7
1/3/12 00:00,1.19,0.001,0.426,-0.6
1/3/12 01:00,0.997,0.001,0.402,0.6
1/3/12 02:00,1.729,0.001,0.84,-1.1
1/3/12 03:00,2.501,0.001,0.975,-6.7
1/3/12 04:00,2.471,0.002,1.132,-6.1
1/3/12 05:00,2.833,0.001,1.256,-6.1
1/3/12 06:00,2.824,0.001,1.245,-4.4
1/3/12 07:00,2.818,0.001,1.375,-6.7
1/3/12 08:00,2.802,0.001,1.405,-3.9
1/3/12 09:00,2.733,0,1.243,-3.3
1/3/12 10:00,2.677,0.001,1.217,-0.6
1/3/12 11:00,2.569,0,1.153,2.2
1/3/12 12:00,2.471,0.001,1.239,3.9
1/3/12 13:00,2.411,0.001,1.165,3.3
1/3/12 14:00,2.422,0.001,1.115,3.9
1/3/12 15:00,2.392,0.001,1.071,4.4
1/3/12 16:00,2.403,0.001,1.092,3.3
1/3/12 17:00,1.532,0.001,0.7,-1.1
1/3/12 18:00,1.266,0.001,0.447,-3.9
1/3/12 19:00,1.18,0.001,0.425,-6.1
1/3/12 20:00,1.197,0.001,0.425,-7.2
1/3/12 21:00,1.208,0.001,0.425,-6.7
1/3/12 22:00,1.212,0.001,0.425,-7.2
1/3/12 23:00,1.224,0.001,0.425,-10
1/4/12 00:00,1.24,0.001,0.425,-7.8
1/4/12 01:00,1.234,0.001,0.425,-7.8
1/4/12 02:00,1.699,0.001,0.777,-7.2
1/4/12 03:00,1.984,0.001,0.894,-6.7
1/4/12 04:00,2.195,0.001,1.038,-6.1
1/4/12 05:00,2.814,0.001,1.236,-6.1
1/4/12 06:00,2.839,0.001,1.27,-7.2
1/4/12 07:00,2.839,0.001,1.408,-6.7
1/4/12 08:00,2.829,0.001,1.454,-6.7
1/4/12 09:00,2.816,0.001,1.365,-6.7
1/4/12 10:00,2.807,0.001,1.367,-6.1
1/4/12 11:00,2.797,0.001,1.368,-6.7
1/4/12 12:00,2.795,0.001,1.426,-6.7
1/4/12 13:00,2.783,0.001,1.337,-5.6
1/4/12 14:00,2.762,0.001,1.241,-4.4
1/4/12 15:00,2.751,0.001,1.208,-4.4
1/4/12 16:00,2.761,0.001,1.222,-5
1/4/12 17:00,2.728,0.001,1.056,-5.6
1/4/12 18:00,2.597,0.001,0.921,-5
1/4/12 19:00,2.582,0.001,0.884,-3.9
1/4/12 20:00,2.574,0.001,0.881,-5
1/4/12 21:00,2.573,0.001,0.878,-3.3
1/4/12 22:00,2.556,0.001,0.868,-3.9
1/4/12 23:00,2.55,0.001,0.863,-3.3
1/5/12 00:00,2.544,0.001,0.86,-3.9
1/5/12 01:00,2.548,0.001,0.863,-3.9
1/5/12 02:00,2.53,0.001,0.946,-3.9
1/5/12 03:00,2.531,0.001,0.951,-3.9
1/5/12 04:00,2.719,0,1.053,-3.3
1/5/12 05:00,2.725,0,1.076,-3.3
1/5/12 06:00,2.708,0,1.106,-1.7
1/5/12 07:00,2.671,0,1.216,-1.1
1/5/12 08:00,2.646,0.001,1.291,-2.2
1/5/12 09:00,2.643,0.001,1.236,-2.2
1/5/12 10:00,2.62,0.001,1.218,-1.1
1/5/12 11:00,2.561,0,1.139,0.6
1/5/12 12:00,2.518,0.001,1.261,0
1/5/12 13:00,2.52,0.001,1.164,0
1/5/12 14:00,2.508,0,1.069,0.6
1/5/12 15:00,2.502,0,1.038,0.6
1/5/12 16:00,2.53,0,1.057,0
1/5/12 17:00,1.568,0.001,0.685,0
1/5/12 18:00,0.882,0.001,0.4,0
1/5/12 19:00,1.196,0.001,0.425,-0.6
1/5/12 20:00,1.162,0.001,0.425,0
1/5/12 21:00,1.161,0.001,0.425,-0.6
1/5/12 22:00,0.968,0.001,0.402,0
1/5/12 23:00,0.806,0.001,0.378,0
1/6/12 00:00,1.216,0.001,0.425,-1.7
1/6/12 01:00,1.172,0.001,0.425,-1.7
1/6/12 02:00,1.961,0.001,0.838,-1.7
1/6/12 03:00,2.5,0.001,0.929,-2.8
1/6/12 04:00,2.719,0.001,1.107,-6.1
1/6/12 05:00,2.781,0.001,1.198,-6.1
1/6/12 06:00,2.766,0.001,1.188,-3.9
1/6/12 07:00,2.719,0.001,1.3,-2.8
1/6/12 08:00,2.675,0.001,1.331,-2.8
1/6/12 09:00,2.607,0.001,1.224,-2.8
1/6/12 10:00,2.495,0.001,1.167,-0.6
1/6/12 11:00,2.371,0.001,1.182,1.7
1/6/12 12:00,2.301,0.001,1.271,2.2
1/6/12 13:00,2.252,0.001,1.2,2.2
1/6/12 14:00,2.228,0,1.077,2.8
1/6/12 15:00,2.219,0.001,1.073,2.8
1/6/12 16:00,2.275,0.001,1.107,1.7
1/6/12 17:00,1.458,0.001,0.697,-1.1
1/6/12 18:00,1.244,0.001,0.447,-3.3
1/6/12 19:00,1.163,0.001,0.425,-3.3
1/6/12 20:00,1.168,0.001,0.425,-8.3
1/6/12 21:00,1.194,0.001,0.425,-7.8
1/6/12 22:00,1.21,0.001,0.425,-11.7
1/6/12 23:00,1.234,0.001,0.425,-10.6
1/7/12 00:00,1.233,0.001,0.425,-8.9
1/7/12 01:00,1.229,0.001,0.425,-9.4
1/7/12 02:00,1.234,0.001,0.425,-9.4
1/7/12 03:00,1.235,0.001,0.425,-8.3
1/7/12 04:00,1.234,0.001,0.425,-8.9
1/7/12 05:00,1.238,0.001,0.425,-8.3
1/7/12 06:00,1.237,0.001,0.425,-8.3
1/7/12 07:00,1.238,0.001,0.425,-8.3
1/7/12 08:00,1.237,0.001,0.413,-7.2
1/7/12 09:00,1.218,0.001,0.406,-4.4
1/7/12 10:00,1.192,0.001,0.406,-3.9
1/7/12 11:00,1.006,0.001,0.372,-4.4
1/7/12 12:00,0.84,0.001,0.36,-2.2
1/7/12 13:00,0.728,0.001,0.348,-1.7
1/7/12 14:00,0.847,0.001,0.36,-0.6
1/7/12 15:00,0.722,0.001,0.348,-0.6
1/7/12 16:00,0.685,0.001,0.348,-1.7
1/7/12 17:00,1.007,0.001,0.398,-3.9
