Time,I,Po,SOC
0.000000,12.5,3000,0.5400
0.003472,12.5,3000,0.5494
0.006944,10,2500,0.5572
0.010416,10,2500,0.5651
0.013889,16.66666667,4000,0.5774
0.017361,16.66666667,4000,0.5897
0.020833,16.66666667,4000,0.6020
0.024305,16.66666667,4000,0.6143
0.027778,16.66666667,4000,0.6265
0.031250,16.66666667,4000,0.6388
0.034722,16.66666667,4000,0.6511
0.038194,16.66666667,4000,0.6634
0.041666,6.25,1500,0.6682
0.045139,6.25,1500,0.6730
0.048611,6.25,1500,0.6778
0.052083,6.25,1500,0.6825
0.055555,6.25,1500,0.6873
0.059028,6.25,1500,0.6921
0.062500,6.25,1500,0.6969
