Time,I,Po,SOC,
0.000000,-30,-7200,0.5400,
0.003472,-14.24024062,-4186.36384,0.5240,
0.006944,-22.69605374,-5980.889535,0.5005,
0.010416,-50.19509195,-11073.32253,0.4525,
0.013889,-26.79514878,-6812.114749,0.4254,
0.017361,-44.68484876,-10144.01845,0.3824,
0.020833,-5,-169.3029491,0.3817,
0.024305,-17.83871498,-4963.190341,0.3625,
0.027778,-35.29649352,-8455.484918,0.3278,
0.031250,-5,-296.5222801,0.3266,
0.034722,-39.11518341,-9158.285844,0.2885,
0.038194,-25.57603603,-6567.540165,0.2624,
0.041666,-17.00638019,-4785.240087,0.2440,
0.045139,-5.963217714,-2325.631157,0.2353,
0.048611,-35.32545791,-8460.898141,0.2006,
0.052083,-26.94353511,-6841.730954,0.1733,
0.055555,-19.79490898,-5377.315662,0.1523,
0.059028,-9.002676973,-3020.894233,0.1409,
0.062500,-47.81677886,-10677.82078,0.0951,
