Date/Time,Regen_Valve,T_OA,CFM_OA,RH_OA,T_CA,RH_CA,T_HW,FanStatus,T_HW_out
 01/21  01:00:00,0,8.7,354.0750607,100,8.7,100,20.44552803,1,20.44552803
 01/21  02:00:00,0,8.7,354.0750607,100,8.7,100,20.07664392,1,20.07664392
 01/21  03:00:00,0,8.7,354.0750607,100,8.7,100,20.13961211,1,20.13961211
 01/21  04:00:00,0,8.7,354.0750607,100,8.7,100,20.45782221,1,20.45782221
 01/21  05:00:00,0,8.7,354.0750607,100,8.7,100,20.17412078,1,20.17412078
 01/21  06:00:00,0,8.7,354.0750607,100,8.7,100,20.29665501,1,20.29665501
 01/21  07:00:00,0,8.7,354.0750607,100,8.7,100,20.09907171,1,20.09907171
 01/21  08:00:00,0,8.7,354.0750607,100,8.7,100,20.25533509,1,20.25533509
 01/21  09:00:00,0,8.7,354.0750607,100,8.7,100,20.41416767,1,20.41416767
 01/21  10:00:00,0,8.7,354.0750607,100,8.7,100,20.17409709,1,20.17409709
 01/21  11:00:00,0,8.7,354.0750607,100,8.7,100,20.14907082,1,20.14907082
 01/21  12:00:00,0,8.7,354.0750607,100,8.7,100,20.29368276,1,20.29368276
 01/21  13:00:00,0,8.7,354.0750607,100,8.7,100,20.31539141,1,20.31539141
 01/21  14:00:00,0,8.7,354.0750607,100,8.7,100,20.43598557,1,20.43598557
 01/21  15:00:00,0,8.7,354.0750607,100,8.7,100,20.1032509,1,20.1032509
 01/21  16:00:00,0,8.7,354.0750607,100,8.7,100,20.26690185,1,20.26690185
 01/21  17:00:00,0,8.7,354.0750607,100,8.7,100,20.05214219,1,20.05214219
 01/21  18:00:00,0,8.7,354.0750607,100,8.7,100,20.144961,1,20.144961
 01/21  19:00:00,0,8.7,354.0750607,100,8.7,100,20.22017782,1,20.22017782
 01/21  20:00:00,0,8.7,354.0750607,100,8.7,100,20.21619099,1,20.21619099
 01/21  21:00:00,0,8.7,354.0750607,100,8.7,100,20.17724266,1,20.17724266
 01/21  22:00:00,0,8.7,354.0750607,100,8.7,100,20.11092923,1,20.11092923
 01/21  23:00:00,0,8.7,354.0750607,100,8.7,100,20.28126455,1,20.28126455
 01/21  24:00:00,0,8.7,354.0750607,100,8.7,100,20.0240066,1,20.0240066
 07/21  01:00:00,0,27.4715,2.01E+01,74.02774833,23.35330844,94.55646047,27.15144686,1,27.15144686
 07/21  02:00:00,0,27.14766667,2.01E+01,75.44440601,22.95519111,96.85888269,26.96651348,1,26.96651348
 07/21  03:00:00,0,26.91875,2.01E+01,76.46468113,22.66588714,98.57150752,26.69455666,1,26.69455666
 07/21  04:00:00,0,26.71775,2.01E+01,77.37372712,22.46480713,99.71074025,26.37390684,1,26.37390684
 07/21  05:00:00,0,26.55583333,2.01E+01,78.11461219,22.40384162,99.79528231,26.02412196,1,26.02412196
 07/21  06:00:00,0,26.57816667,2.01E+01,78.01190519,22.36927869,99.79535238,26.38247075,1,26.38247075
 07/21  07:00:00,0,26.90758333,2.01E+01,76.51703972,22.47944672,99.39581223,26.41950792,1,26.41950792
 07/21  08:00:00,0,27.76741667,2.01E+01,72.7713913,23.36947316,94.47256464,27.33297461,1,27.33297461
 07/21  09:00:00,0,28.98458333,2.01E+01,67.8052132,24.6247758,87.62481338,28.54879952,1,28.54879952
 07/21  10:00:00,0,30.17941667,2.01E+01,63.29339209,25.6220532,82.55657291,29.98330673,1,29.98330673
 07/21  11:00:00,0,31.24025,2.01E+01,59.57053024,26.30510511,79.28232944,31.02866912,1,31.02866912
 07/21  12:00:00,0,32.04983333,2.01E+01,56.89292322,26.83850936,76.82859604,31.58238904,1,31.58238904
 07/21  13:00:00,0,32.64166667,2.01E+01,55.02364078,27.34782684,74.56669675,32.22634722,1,32.22634722
 07/21  14:00:00,0,33.06041667,2.01E+01,53.74255799,27.71087349,72.99807222,32.79581199,1,32.79581199
 07/21  15:00:00,0,33.2,2.01E+01,53.3226495,27.90086697,72.19242814,32.72044929,1,32.72044929
 07/21  16:00:00,0,32.9655,2.01E+01,54.03002692,27.92135333,72.10617433,32.32023287,1,32.32023287
 07/21  17:00:00,0,32.48533333,2.01E+01,55.51022372,27.86839312,72.32932415,31.87502475,1,31.87502475
 07/21  18:00:00,0,31.87116667,2.01E+01,57.47088264,27.73617276,72.88977478,31.34296389,1,31.34296389
 07/21  19:00:00,0,31.00575,2.01E+01,60.37108621,27.61963256,73.38753984,31.040673,1,31.040673
 07/21  20:00:00,0,30.15708333,2.01E+01,63.3672975,27.32266845,74.67878876,30.25149037,1,30.25149037
 07/21  21:00:00,0,29.49825,2.01E+01,65.81124663,26.43035768,78.70602242,29.44921305,1,29.44921305
 07/21  22:00:00,0,28.89525,2.01E+01,68.1435032,25.42190075,83.54997728,28.72641349,1,28.72641349
 07/21  23:00:00,0,28.37041667,2.01E+01,70.24808901,24.53246836,88.09300751,28.24927762,1,28.24927762
 07/21  24:00:00,0,27.90141667,2.01E+01,72.19251314,23.86619747,91.68129665,27.566176,1,27.566176
 01/01  01:00:00,0.011846475,8.95,1.23E+02,82.5,9.129901742,80.44609344,22.55955815,1,17.57140463
 01/01  02:00:00,0.130804435,12.55,253.7451992,73.25,14.20532018,60.84027334,36.93591053,1,32.06671497
 01/01  03:00:00,0.238798527,12.45,372.156796,74.91666667,15.44425348,52.62791911,46.20053845,1,41.43933698
 01/01  04:00:00,0.205668027,11.90833333,321.4631012,80.5,14.90144257,56.85704414,46.17918427,1,41.3848523
 01/01  05:00:00,0.205328189,11.7,321.7184324,83,14.69296996,58.77433472,46.35351728,1,41.55884547
 01/01  06:00:00,0.191222898,11.35,300.0062272,87.08333333,14.34252843,61.88477751,46.41494822,1,41.60617112
 01/01  07:00:00,0.179639223,11.1,281.9173018,90,14.09253191,64.09842318,46.36805722,1,41.54769644
 01/01  08:00:00,0,11.1,1005.519084,90,11.1,90,18.79916984,1,18.79916984
 01/01  09:00:00,0.599084516,11.45,1005.519084,90,14.44733118,64.33673137,46.17597967,1,41.77506419
 01/01  10:00:00,0.577197249,11.99166667,1005.519084,90,14.98903334,64.74174174,46.2762704,1,41.85346765
 01/01  11:00:00,0.560142632,12.55,1015.150048,90,15.54756267,65.14390111,46.53322236,1,42.09336499
 01/01  12:00:00,0.662201153,13.44166667,1247.357107,90,16.43842187,65.76130423,46.60075143,1,42.26295258
 01/01  13:00:00,0.647762309,13.9,1253.35717,91.75,16.89574425,67.52440203,46.5216678,1,42.16943011
 01/01  14:00:00,0.627150494,13.25833333,1236.916133,95.33333333,16.25545147,70.05409387,46.29936449,1,41.92651498
 01/01  15:00:00,0.614841308,12.8,1233.159663,97,15.79864057,71.11371796,46.59257826,1,42.20741957
 01/01  16:00:00,0.420991903,10.525,1019.281354,96.41666667,13.02884387,73.65702913,42.571195,1,37.9921869
 01/01  17:00:00,0,7.908333333,1005.519084,96,7.908333333,96,24.25418532,1,24.25418532
 01/01  18:00:00,0.042861743,6.908333333,511.0975874,96,6.967473294,95.3013837,27.78364437,1,22.82650611
 01/01  19:00:00,0.122934125,6.7,502.1262215,94.25,7.797665237,82.99161083,32.72733144,1,27.85026557
 01/01  20:00:00,0.024168252,6.7,409.2974626,93,6.950567175,90.45992606,23.58027583,1,18.60444408
 01/01  21:00:00,0.028901786,6.35,329.9645326,93,6.357704537,92.90695082,25.15110006,1,20.18000185
 01/01  22:00:00,0.128757272,5.808333333,264.372741,93,6.427914921,85.71142192,41.97201459,1,37.10077186
