plf,eff
0.13018594,0.509656284
0.149069078,0.515539838
0.168743653,0.548530466
0.187015373,0.576345293
0.204337638,0.636726161
0.220783957,0.655528359
0.239044141,0.680909144
0.258669083,0.702434304
0.278615161,0.722266221
0.299655411,0.748969916
0.317535594,0.76828393
0.333804309,0.776583099
0.352631376,0.794615485
0.37277974,0.80984793
0.391174066,0.823143596
0.407123255,0.82790375
0.425240713,0.817333539
0.441271192,0.837706201
0.457596349,0.845610435
0.474700397,0.853378764
0.493013701,0.872571696
0.511449074,0.881924842
0.529868619,0.890297271
0.548192654,0.902890231
0.567313492,0.911509928
0.579869431,0.90988442
0.599586126,0.925754084
0.617202698,0.938856839
0.634699884,0.939078245
0.651712817,0.92947831
0.670299502,0.929348198
0.682924146,0.937954106
0.701444809,0.951155944
0.715124551,0.959553617
0.734200086,0.96626505
0.751269628,0.967271589
0.769288897,0.975659924
0.781456357,0.971275454
0.797232069,0.96828967
0.811756303,0.970988063
0.829746862,0.97623059
0.845975603,0.976699564
0.862663108,0.971248137
0.878857777,0.985524719
0.89410943,0.970523613
0.908321751,0.974294724
0.925772524,0.973051174
0.938514115,0.968946481
0.952956892,0.988156786
0.970938902,0.983684907
0.98655753,0.99198844
0.990023754,0.996123096
0.982150436,0.991759451
0.992575399,1.004588225
0.977928994,0.9833313
1,1
