Qin(MMBtu/h),Qch(MMBtu/h)
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.82201598,0.624489928
0.81270179,0.617489346
0.811976681,0.61696444
0.811666757,0.616747051
0.811238643,0.616436879
0.810728534,0.616062272
0.810164232,0.61564511
0.911041238,0.691982264
0.829242028,0.629860737
0.828324491,0.629189632
0.829320191,0.62995552
0.829467519,0.630076551
0.829209381,0.629889117
0.850734722,0.645964883
0.799842072,0.607761162
0.809289223,0.614919607
0.807535975,0.613626111
0.8058745,0.612397221
0.80511293,0.611841956
0.904125177,0.686716097
0.823043566,0.625207726
0.822719234,0.624987954
0.845106509,0.641718681
0.795119984,0.604218843
0.805744127,0.612265062
0.804475757,0.611337941
0.803022347,0.610266114
0.802318802,0.609754563
0.802032374,0.609552984
0.801932839,0.60948866
0.80197265,0.609526468
0.802297732,0.609776717
0.802772156,0.61013738
0.803306535,0.610541488
0.803874259,0.610969354
0.804445542,0.611398915
0.805010878,0.611823277
0.807059442,0.613363248
0.808652158,0.614557887
0.809769286,0.615393439
0.810846653,0.616198882
0.811878833,0.616970237
0.812878259,0.617716946
0.809971064,0.615522788
0.79620917,0.605168715
0.791254582,0.601460525
0.790607194,0.600993374
0.792042355,0.602087936
0.794603486,0.604023373
0.797993398,0.606576491
0.801829473,0.609460085
0.806001237,0.612592011
0.810314482,0.615827049
0.814657093,0.61908168
0.819064977,0.622383761
0.823289026,0.625546333
0.827416031,0.628635494
0.831526782,0.631712593
0.835575838,0.634743598
0.839603829,0.637759353
0.84302538,0.640318449
0.675167054,0.51415957
0.713755905,0.54357435
