Qch(tons),P(kW)
2.379056609,0.906614713
2.379056609,0.907051969
2.379056609,0.905898494
2.379056609,0.90680849
2.379056609,0.906103464
2.379056609,0.907365995
2.379056609,0.905452744
2.379056609,0.90650303
2.379056609,0.905433059
2.379056609,0.905236205
2.379056609,0.907014411
2.379056609,0.907793742
2.379056609,0.908184814
2.379056609,0.908479045
2.379056609,0.908433206
2.379056609,0.908472838
2.379056609,0.908533641
2.379056609,0.908390959
2.379056609,0.904004507
2.379056609,0.906267151
2.379056609,0.90744268
2.379056609,0.908090942
2.379056609,0.908453434
2.379056609,0.905008427
2.379056609,0.903760502
2.379056609,0.9057643
2.379056609,0.906883152
2.379056609,0.904079546
2.379056609,0.90343105
2.379056609,0.905747659
2.379056609,0.906934624
2.379056609,0.904145238
2.379056609,0.90349974
2.379056609,0.905817346
2.379056609,0.907004571
2.379056609,0.904214669
2.379056609,0.903568982
2.379056609,0.905886883
2.379056609,0.907074214
2.379056609,0.907725071
2.379056609,0.9080883
2.379056609,0.908376547
2.379056609,0.90822928
2.379056609,0.905575277
2.379056609,0.906760727
2.379056609,0.906628027
2.379056609,0.907218506
2.379056609,0.906156764
2.379056609,0.907072507
2.379056609,0.906963605
2.379056609,0.905094621
2.379056609,0.906540907
2.379056609,0.904044272
2.379056609,0.903462109
2.379056609,0.905793578
2.379056609,0.906983808
2.379056609,0.904194721
2.379056609,0.903549232
2.379056609,0.905867081
2.379056609,0.907054389
2.379056609,0.907705242
2.379056609,0.908068481
2.379056609,0.908356739
2.379056609,0.908349859
2.379056609,0.908386728
2.379056609,0.90860411
2.379056609,0.908581585
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
96.00880399,38.20976796
55.49839711,21.73534613
32.51314978,12.649024
19.47309418,7.540674872
12.07567822,4.656289299
7.879404444,3.025585286
5.499069638,2.102817832
4.148842392,1.579945516
3.382941425,1.28298
2.9484946,1.118581097
2.702061155,1.027750379
2.562275659,0.975866804
2.482984594,0.946652513
2.438008036,0.926592346
2.412495826,0.916230191
2.398024448,0.913068014
2.3898158,0.911134694
2.38515958,0.910011934
2.382518418,0.909368035
2.381020262,0.909084738
2.380170459,0.908753434
2.379688422,0.908606302
2.379414994,0.908719338
2.379259897,0.908637609
2.379171921,0.908637312
2.379122018,0.905101378
2.379093711,0.903827061
2.379077655,0.905821558
2.379068547,0.906936278
2.379063381,0.904130153
2.37906045,0.903480372
2.379058788,0.905796546
2.379057845,0.906983224
2.37905731,0.904193255
2.379057007,0.903547506
2.379056835,0.905865249
2.379056737,0.90705251
2.379056682,0.90770334
2.37905665,0.908066567
2.379056633,0.90835482
2.379056622,0.908347938
2.379056617,0.908384807
2.379056613,0.908602189
2.379056612,0.908579666
2.379056611,0.90861294
2.37905661,0.905095973
2.37905661,0.903832361
2.379056609,0.905833007
2.379056609,0.906951215
2.379056609,0.904146914
2.379056609,0.903498193
2.379056609,0.905815077
2.379056609,0.907002144
2.379056609,0.904212227
2.379056609,0.903566539
2.379056609,0.905884428
2.379056609,0.907071756
2.379056609,0.907722612
2.379056609,0.908085842
2.379056609,0.90837409
2.379056609,0.908367187
2.379056609,0.908404036
2.379056609,0.908621405
2.379056609,0.908598856
2.379056609,0.908632108
371.4023941,192.497312
365.900317,189.0746548
365.515582,188.3053071
365.3393961,187.6553486
365.1023115,187.0274733
364.8230156,186.4215609
364.5156145,185.8354195
364.2546891,185.3097702
364.0178975,184.8308555
363.7965981,184.3886241
363.5774048,183.9718764
363.3483388,183.570193
363.1122109,183.1812985
362.9083755,182.827094
362.716725,182.4964236
362.4842606,182.1577868
362.2372068,181.8214695
362.0182477,181.5080812
361.8229762,181.2150764
361.6331942,180.93259
361.4401191,180.6550499
361.2799285,180.4009111
361.1367316,180.1620417
360.9787183,179.9212216
360.8035223,179.6756663
360.6511324,179.4488894
360.5083761,179.2348844
360.3382112,179.0124543
360.1976935,178.8102699
360.1408712,178.657878
360.1759538,178.5628478
360.369111,178.5782148
360.6296924,178.6640011
360.9118049,178.7920359
361.2085701,178.9551815
361.5093655,179.1441542
361.8081344,179.3521841
363.0059062,180.0813022
363.90024,180.7227727
364.4955389,181.2573934
365.068847,181.8105892
365.628538,182.3786381
366.2018021,182.9721573
369.4738182,185.2382864
367.9231817,185.2061056
368.1115195,186.1027438
369.2789777,187.4729729
370.9213508,189.0862253
372.8451009,190.8575381
375.0514443,192.8057596
377.41904,194.8743429
379.9282159,197.054335
382.4502591,199.2773764
384.4585954,201.265534
385.8291648,202.9441114
386.8418056,204.4313242
387.9963365,205.9898042
389.2081212,207.5779451
390.4111437,209.1244628
391.5760373,210.6214485
392.7135128,212.1038889
161.0661624,88.24779429
205.2254499,105.3441924
225.1373473,112.5317062
438.8048441,232.503323
412.9939843,220.8098304
404.3377796,218.7029626
173.9209694,94.26382497
215.9673545,111.1843373
234.6000799,118.1789483
444.0861315,237.9574497
417.5444029,225.8376081
408.4271335,223.5506074
180.1557082,98.52326837
222.2649648,115.7931324
240.5494783,122.7348804
447.5174424,242.7389056
420.6586594,230.2028459
411.4973965,227.8199487
184.7890196,102.0601917
226.7379623,119.4654679
245.0629435,126.4599797
450.3029818,246.7767782
423.1522866,233.8114985
413.6775337,231.1212405
187.9122024,104.6348889
229.8029166,122.1129463
247.8168383,128.9220589
451.6317223,249.1647681
424.0004503,235.626041
414.1501022,232.5054934
188.403587,105.4274287
230.2085954,122.7955718
248.0269919,129.3900594
451.1927842,249.2221244
422.87903,235.0202756
412.5574195,231.3637718
186.1257569,104.1525396
228.4680789,121.5705099
246.6602648,128.2181577
449.8059697,247.4351341
420.799671,232.7401787
410.1502145,228.7445926
303.3997612,153.3528983
341.4034942,164.8455855
433.2899198,230.2580133
412.9718259,224.4794117
405.3603137,222.2879373
402.456486,221.9633449
172.4889282,95.72651819
216.3420396,113.0653267
236.2360588,120.1763291
441.3834839,237.3348028
409.9031462,221.3051705
397.7397948,216.120159
392.9681028,214.1399823
390.5639485,213.0653048
389.0451571,212.2644843
387.9125377,211.5434452
386.9337818,210.8149824
386.0189703,210.0534622
384.7523404,209.0382779
383.853278,208.1896914
383.1101048,207.4033955
382.4101541,206.6282366
381.7308136,205.8568032
381.071365,205.0915719
380.436823,204.3375816
379.8438902,203.606366
379.2277936,202.8320727
378.6166323,202.0543883
378.0282969,201.2900601
377.4581717,200.5375581
376.9772818,199.8460188
376.5140629,199.1794181
376.0377878,198.5180161
375.5696141,197.8714428
375.1116026,197.2394425
374.6585349,196.6181191
374.1981835,195.9992698
373.7411518,195.3871403
373.3033153,194.7898306
372.8923477,194.2119411
372.4652169,193.6298118
5.284562865,2.011231924
3.895537407,1.485441403
3.009358475,1.148078027
2.725835413,1.038724429
2.573467043,0.981948637
2.488046562,0.947958316
2.444382238,0.930281192
2.422119626,0.922655216
2.40692866,0.917918116
2.394866566,0.913580577
2.388024543,0.911296919
2.38414352,0.910109042
2.381942075,0.909541913
2.380693341,0.909054785
2.379985018,0.908820394
2.379583234,0.908884187
2.379355328,0.908774474
2.379226053,0.908468728
2.379152723,0.904029875
2.379111128,0.906271292
2.379087534,0.907436646
2.379074151,0.908079549
2.379066559,0.908439097
2.379062253,0.905014207
2.379059811,0.904254458
2.379058425,0.906031454
2.379057639,0.906917478
2.379057194,0.904083893
2.379056941,0.908313528
2.379056797,0.908347543
2.379056716,0.908393243
2.37905667,0.908612524
2.379056644,0.908590394
2.379056629,0.90862374
2.37905662,0.905106686
2.379056615,0.903843031
2.379056613,0.905843714
2.379056611,0.906961936
2.37905661,0.90415755
2.37905661,0.903508799
2.37905661,0.905825728
