Tamb,P(kW),Qch(tons)
-11.38333333,0,0
-12.8,0,0
-13.09166667,0,0
-13.3,0,0
-13.3,0,0
-13.65,0,0
-13.9,0,0
-13.9,0,0
-13.55,0,0
-12.36666667,0,0
-11.35,0,0
-10.45833333,0,0
-9.65,0,0
-8.758333333,0,0
-8.008333333,0,0
-7.8,0,0
-7.8,0,0
-7.8,0,0
-8.091666667,0,0
-8.3,0,0
-8.3,0,0
-8.3,0,0
-8.65,0,0
-9.191666667,0,0
-9.4,0,0
-9.4,0,0
-9.75,0,0
-10,0,0
-10.35,0,0
-10.83333333,0,0
-10.76666667,0,0
-10.6,0,0
-10.25,0,0
-9.358333333,0,0
-8.258333333,0,0
-6.808333333,0,0
-5.458333333,0,0
-4.358333333,0,0
-3.55,0,0
-3.65,0,0
-4.191666667,0,0
-4.4,0,0
-4.75,0,0
-5.35,0,0
-6.241666667,0,0
-6.991666667,0,0
-7.2,0,0
-7.2,0,0
-7.2,0,0
-7.2,0,0
-7.841666667,0,0
-8.3,0,0
-8.3,0,0
-8.3,0,0
-8.3,0,0
-8.3,0,0
-8.008333333,0,0
-7.45,0,0
-6.266666667,0,0
-4.608333333,0,0
-3.258333333,0,0
-2.158333333,0,0
-1.7,0,0
-1.7,0,0
-1.991666667,0,0
-2.55,0,0
-2.8,0,0
-2.45,0,0
-1.908333333,0,0
-1.991666667,0,0
-1.908333333,0,0
-1.7,0,0
-1.991666667,0,0
-2.2,0,0
-2.2,0,0
-2.2,0,0
-2.55,0,0
-3.733333333,0,0
-4.4,0,0
-4.4,0,0
-5.1,0,0
-5.6,0,0
-5.25,0,0
-5,0,0
-4.65,0,0
-4.75,0,0
-5,0,0
-4.65,0,0
-4.108333333,0,0
-3.55,0,0
-3.3,0,0
-3.941666667,0,0
-4.75,0,0
-5.35,0,0
-5.891666667,0,0
-6.741666667,0,0
-7.841666667,0,0
-8.941666667,0,0
-9.75,0,0
-10.35,0,0
-10.89166667,0,0
-11.45,0,0
-11.99166667,0,0
-12.55,0,0
-12.8,0,0
-12.15833333,0,0
-11.35,0,0
-10.80833333,0,0
-10.25,0,0
-9.65,0,0
-9.4,0,0
-9.108333333,0,0
-9.191666667,0,0
-9.75,0,0
-10,0,0
-10.35,0,0
-10.89166667,0,0
-11.45,0,0
-11.7,0,0
-11.99166667,0,0
-12.2,0,0
-12.55,0,0
-12.8,0,0
-12.8,0,0
-12.8,0,0
-13.09166667,0,0
-13.3,0,0
-13.3,0,0
-13.3,0,0
-13.00833333,0,0
-12.45,0,0
-11.90833333,0,0
-11.35,0,0
-11.1,0,0
-11.1,0,0
-11.1,0,0
-11.45,0,0
-11.7,0,0
-11.99166667,0,0
-12.55,0,0
-13.09166667,0,0
-13.3,0,0
-13.65,0,0
-13.9,0,0
-14.19166667,0,0
-14.4,0,0
-14.4,0,0
-14.4,0,0
-14.75,0,0
-15,0,0
-15,0,0
-15,0,0
-14.65,0,0
-13.75833333,0,0
-13.00833333,0,0
-11.80833333,0,0
-10.45833333,0,0
-9.358333333,0,0
-8.55,0,0
-8.3,0,0
-8.3,0,0
-8.3,0,0
-8.3,0,0
-8.008333333,0,0
-7.8,0,0
-8.091666667,0,0
-8.3,0,0
-8.3,0,0
-8.008333333,0,0
-7.8,0,0
-7.45,0,0
-6.908333333,0,0
-6.991666667,0,0
-7.2,0,0
-6.908333333,0,0
-6.35,0,0
-5.808333333,0,0
-5.25,0,0
-4.65,0,0
-3.758333333,0,0
-3.008333333,0,0
-2.45,0,0
-1.558333333,0,0
-1.1,0,0
-1.45,0,0
-1.7,0,0
-1.35,0,0
-1.1,0,0
-1.1,0,0
-0.808333333,0,0
-0.6,0,0
-0.6,0,0
-0.6,0,0
-0.6,0,0
-0.6,0,0
0.1,0,0
0.6,0,0
0.6,0,0
0.6,0,0
0.6,0,0
0.891666667,0,0
2.091666667,0,0
3.733333333,0,0
5.1,0,0
5.891666667,0,0
6.1,0,0
6.1,0,0
5.808333333,0,0
5.25,0,0
4.65,0,0
4.108333333,0,0
3.258333333,0,0
2.8,0,0
2.45,0,0
1.908333333,0,0
1.35,0,0
1.1,0,0
0.808333333,0,0
0.25,0,0
-0.35,0,0
-0.6,0,0
-0.6,0,0
-0.891666667,0,0
-0.808333333,0,0
0.1,0,0
0.891666667,0,0
1.741666667,0,0
2.841666667,0,0
3.65,0,0
3.9,0,0
4.191666667,0,0
4.108333333,0,0
3.258333333,0,0
3.091666667,0,0
3.3,0,0
3.941666667,0,0
4.4,0,0
4.75,0,0
5,0,0
5.35,0,0
5.891666667,0,0
5.808333333,0,0
5.891666667,0,0
5.808333333,0,0
5.6,0,0
5.6,0,0
5.6,0,0
5.6,0,0
6.241666667,0,0
6.991666667,0,0
7.2,0,0
7.841666667,0,0
9.291666667,0,0
10.35,0,0
10.6,0,0
11.24166667,0,0
10.35833333,0,0
9.4,0,0
8.466666667,0,0
8.733333333,0,0
9.4,0,0
