fuel_flow,power
0.0161,184.75
0.0156,179
0.0156,179
0.0156,179
0.0156,179
0.0156,179
0.0157,179.5
0.0157,180
0.0157,180
0.0157,180
0.0157,180
0.0157,180
0.0157,180
0.0158,181
0.0158,181
0.0158,181
0.0158,181
0.0158,181
0.0158,181
0.0159,182
0.0159,182
0.0159,182
0.0159,182
0.0159,182
0.0159,182
0.016,183
0.016,183
0.016,183
0.016,183
0.016,183
0.016,183
0.0161,184
0.0161,184
0.0161,184
0.0161,184
0.0161,184
0.0161,184
0.0161,185
0.0161,185
0.0161,185
0.0161,185
0.0161,185
0.0162,185.8571429
0.0162,186
0.0162,186
0.0162,186
0.0162,186
0.0162,186
0.0163,186.5
0.0163,187
0.0163,187
0.0163,187
0.0163,187
0.0163,187
0.0163,187
0.0164,188
0.0164,188
0.0164,188
0.0164,188
0.0164,188
0.0164,188
0.0165,189
0.0165,189
0.0165,189
0.0165,189
0.0165,189
0.0165,189
0.0165,190
0.0165,190
0.0165,190
0.0165,190
0.0165,190
0.0165,190
0.0166,191
0.0166,191
0.0166,191
0.0166,191
0.0166,191
0.0166,191
0.0167,192
0.0167,192
0.0167,192
0.0167,192
0.0167,192
0.0167,192
0.0168,193
0.0168,193
0.0168,193
0.0168,193
0.0168,193
0.0168,193
0.0169,194
0.0169,194
0.0169,194
0.0169,194
0.0169,194
0.0169,194
0.0169,195
0.0169,195
0.0169,195
0.0169,195
0.0169,195
0.0169,195
0.017,196
0.017,196
0.017,196
0.017,196
0.017,196
0.0171,196.5
0.0171,197
0.0171,197
0.0171,197
0.0171,197
0.0171,197
0.0171,197
0.0172,198
0.0172,198
0.0172,198
0.0172,198
0.0172,198
0.0172,198
0.0173,199
0.0173,199
0.0173,199
0.0173,199
0.0173,199
0.0173,199
0.0174,200
0.0174,200
0.0174,200
0.0174,200
0.0174,200
0.0174,200
0.0174,201
0.0174,201
0.0174,201
0.0174,201
0.0174,201
0.0174,201
0.0175,202
0.0175,202
0.0175,202
0.0175,202
0.0175,202
0.0415,487
0.0393,464
0.0393,464
0.0393,464
0.0393,464
0.0393,464
0.0393,464
0.0394,465
0.0394,465
0.0394,465
0.0394,465
0.0394,465
0.0394,465
0.0395,466
0.0395,466
0.0395,466
0.0395,466
0.0395,466
0.0395,466
0.0396,467
0.0396,467
0.0396,467
0.0396,467
0.0396,467
0.0396,467
0.0397,468
0.0397,468
0.0397,468
0.0397,468
0.0397,468
0.0397,468
0.0398,469
0.0398,469
0.0398,469
0.0398,469
0.0398,469
0.0398,469
0.0399,470
0.0399,470
0.0399,470
0.0399,470
0.0399,470
0.0399,470
0.04,471
0.04,471
0.04,471
0.04,471
0.04,471
0.04,471
0.0401,472
0.0401,472
0.0401,472
0.0401,472
0.0401,472
0.0401,472
0.0402,473
0.0402,473
0.0402,473
0.0402,473
0.0402,473
0.0402,473
0.0403,474
0.0403,474
0.0403,474
0.0403,474
0.0403,474
0.0403,474
0.0404,475
0.0404,475
0.0404,475
0.0404,475
0.0404,475
0.0404,475
0.0405,476
0.0405,476
0.0405,476
0.0405,476
0.0405,476
0.0405,476
0.0406,477
0.0406,477
0.0406,477
0.0406,477
0.0406,477
0.0406,477
0.0406,478
0.0406,478
0.0406,478
0.0406,478
0.0406,478
0.0406,478
0.0407,479
0.0407,479
0.0407,479
0.0407,479
0.0407,479
0.0407,479
0.0408,480
0.0408,480
0.0408,480
0.0408,480
0.0408,480
0.0408,480
0.0409,481
0.0409,481
0.0409,481
0.0409,481
0.0409,481
0.0409,481
0.041,482
0.041,482
0.041,482
0.041,482
0.041,482
0.041,482
0.0411,483
0.0411,483
0.0411,483
0.0411,483
0.0411,483
0.0411,483
0.0412,484
0.0412,484
0.0412,484
0.0412,484
0.0412,484
0.0412,484
0.0413,485
0.0413,485
0.0413,485
0.0413,485
0.0413,485
0.0413,485
0.0414,486
0.0414,486
0.0414,486
0.0414,486
0.0414,486
0.0414,486
0.0415,487
0.0415,487
0.0415,487
0.0415,487
0.0415,487
0.0137,154.9280039
0.0133,150
0.0133,150
0.0133,150
0.0133,150
0.0133,150
0.0133,150
0.0133,151
0.0133,151
0.0133,151
0.0133,151
0.0133,151
0.0133,151
0.0134,152
0.0134,152
0.0134,152
0.0134,152
0.0134,152
0.0134,152
0.0135,153
0.0135,153
0.0135,153
0.0135,153
0.0135,153
0.0135,153
0.0136,154
0.0136,154
0.0136,154
0.0136,154
0.0136,154
0.0136,154
0.0137,155
0.0137,155
0.0137,155
0.0137,155
0.0137,155
0.0137,155
0.0138,156
0.0138,156
0.0138,156
0.0138,156
0.0138,156
0.0138,156
0.0138,157
0.0138,157
0.0138,157
0.0138,157
0.0138,157
0.0139,157.6666667
0.0139,158
0.0139,158
0.0139,158
0.0139,158
0.0139,158
0.0139,158
0.014,159
0.014,159
0.014,159
0.014,159
0.014,159
0.014,159
0.0141,160
0.0141,160
0.0141,160
0.0141,160
0.0141,160
0.0141,160
0.0142,161
0.0142,161
0.0142,161
0.0142,161
0.0142,161
0.0142,161
0.0143,162
0.0143,162
0.0143,162
0.0143,162
0.0143,162
0.0143,162
0.0143,163
0.0143,163
0.0143,163
0.0143,163
0.0143,163
0.0143,163
0.0144,164
0.0144,164
0.0144,164
0.0144,164
0.0144,164
0.0144,164
