Date/Time,Outdoor Air Temperature,Building Electric Load,Building Heating Load,Building Cooling Load,ChW Supply Temp,ChW Return Temp,HW Supply Temp,HW Return Temp,HW Mass Flow Rate (kg/s),CHW Mass Flow Rate (kg/s)
 01/01  01:00:00,-8.3,661.0,561.0,79.5,6.7,9.7,82.0,62.2,6.67,5.95
 01/01  02:00:00,-11.9,676.4,612.2,36.5,6.7,9.5,82.0,63.1,7.59,2.81
 01/01  03:00:00,-11.3,675.0,594.6,41.0,6.7,9.5,82.0,62.9,7.45,3.22
 01/01  04:00:00,-11.1,674.5,596.6,42.4,6.7,9.5,82.0,62.9,7.45,3.39
 01/01  05:00:00,-10.8,674.1,595.5,44.7,6.7,9.6,82.0,62.9,7.44,3.61
 01/01  06:00:00,-10.6,673.5,595.6,46.0,6.7,9.6,82.0,62.8,7.43,3.74
 01/01  07:00:00,-10.6,672.2,601.6,45.7,6.7,9.6,82.0,63.0,7.52,3.73
 01/01  08:00:00,-10.2,659.0,602.7,48.9,6.7,9.6,82.0,63.0,7.59,4.01
 01/01  09:00:00,-9.3,782.4,517.6,55.9,6.7,9.8,82.0,61.6,6.30,4.53
 01/01  10:00:00,-7.5,787.4,489.1,81.9,6.7,9.7,82.0,61.1,5.70,6.58
 01/01  11:00:00,-5.6,783.1,460.1,106.7,6.7,9.8,82.0,61.1,5.29,8.43
 01/01  12:00:00,-3.9,775.2,436.3,129.8,6.7,9.9,82.0,61.0,4.98,10.02
 01/01  13:00:00,-2.6,766.5,425.0,148.8,6.7,9.9,82.0,60.9,4.84,11.25
 01/01  14:00:00,-1.5,761.1,413.1,164.9,6.7,9.9,82.0,60.9,4.69,12.29
 01/01  15:00:00,-1.1,755.7,405.8,171.9,6.7,9.9,82.0,60.8,4.59,12.70
 01/01  16:00:00,-1.1,747.4,406.3,172.6,6.7,9.9,82.0,60.7,4.58,12.75
 01/01  17:00:00,-1.1,624.6,446.3,159.2,6.7,10.4,82.0,61.2,5.07,11.24
 01/01  18:00:00,-1.5,628.8,453.8,176.2,6.7,9.9,82.0,61.2,5.19,12.49
 01/01  19:00:00,-2.0,629.4,471.6,162.6,6.7,9.9,82.0,61.4,5.43,11.92
 01/01  20:00:00,-1.5,628.8,473.5,165.5,6.7,9.9,82.0,61.7,5.51,12.24
 01/01  21:00:00,-1.5,623.3,465.2,167.9,6.7,9.9,82.0,61.5,5.44,12.42
 01/01  22:00:00,-1.3,621.5,470.6,167.5,6.7,9.9,82.0,61.6,5.50,12.44
 01/01  23:00:00,-1.5,622.3,478.6,166.7,6.7,9.9,82.0,61.8,5.63,12.34
 01/01  24:00:00,-1.7,629.4,482.2,163.0,6.7,9.9,82.0,61.8,5.69,12.08
 01/02  01:00:00,-3.1,648.0,490.1,148.8,6.7,9.9,82.0,61.5,5.77,11.08
 01/02  02:00:00,-3.2,649.1,496.7,142.5,6.7,9.9,82.0,61.7,5.83,10.71
 01/02  03:00:00,-3.1,652.2,497.0,144.8,6.7,9.9,82.0,61.7,5.85,10.88
 01/02  04:00:00,-3.0,650.8,492.8,145.5,6.7,9.9,82.0,61.7,5.80,10.95
 01/02  05:00:00,-1.7,648.5,485.6,161.0,6.7,9.9,82.0,61.8,5.73,12.06
 01/02  06:00:00,-1.1,647.3,478.2,170.5,6.7,9.9,82.0,61.9,5.67,12.62
 01/02  07:00:00,-0.8,647.6,471.6,175.5,6.7,10.0,82.0,61.9,5.60,12.92
 01/02  08:00:00,-0.6,848.8,400.0,174.9,6.7,10.2,82.0,61.0,4.67,12.49
 01/02  09:00:00,-0.2,1069.4,340.4,184.4,6.7,10.2,82.0,60.4,3.86,12.95
 01/02  10:00:00,0.4,1108.2,316.2,199.7,6.7,9.9,82.0,60.2,3.52,14.35
 01/02  11:00:00,1.3,1110.3,304.8,208.9,6.7,10.0,82.0,60.1,3.36,15.22
 01/02  12:00:00,1.7,1109.7,293.0,214.9,6.7,10.0,82.0,59.9,3.20,15.67
 01/02  13:00:00,1.7,1060.9,280.6,189.5,6.7,10.7,82.0,59.7,3.04,13.05
 01/02  14:00:00,0.6,1079.4,282.7,210.3,6.7,10.4,82.0,59.6,3.04,13.18
 01/02  15:00:00,-0.4,1068.2,284.7,199.1,6.7,9.9,82.0,59.7,3.05,13.84
 01/02  16:00:00,0.2,1068.3,287.6,194.7,6.7,9.9,82.0,59.7,3.08,14.23
 01/02  17:00:00,0.6,827.6,345.4,191.4,6.7,10.2,82.0,60.7,3.76,13.69
 01/02  18:00:00,-0.2,831.0,359.7,191.9,6.7,9.9,82.0,60.7,3.99,13.85
 01/02  19:00:00,0.2,753.2,361.2,190.2,6.7,9.9,82.0,60.8,4.03,13.95
 01/02  20:00:00,0.9,754.9,358.8,199.7,6.7,10.0,82.0,60.9,4.04,14.62
 01/02  21:00:00,1.5,752.7,361.5,207.0,6.7,10.0,82.0,61.1,4.10,15.08
 01/02  22:00:00,2.0,707.2,357.0,214.5,6.7,10.0,82.0,61.2,4.08,15.54
 01/02  23:00:00,0.8,696.7,358.6,204.4,6.7,10.0,82.0,60.7,4.08,14.83
 01/02  24:00:00,0.0,599.3,403.3,182.2,6.7,10.2,82.0,61.1,4.58,12.98
 01/03  01:00:00,0.0,596.2,413.1,189.8,6.7,9.9,82.0,61.3,4.73,13.69
 01/03  02:00:00,0.0,596.5,421.9,186.7,6.7,10.0,82.0,61.4,4.87,13.62
 01/03  03:00:00,0.4,598.5,430.7,190.2,6.7,10.0,82.0,61.8,5.02,13.85
 01/03  04:00:00,0.2,606.5,433.1,194.7,6.7,9.8,82.0,61.8,5.10,14.54
 01/03  05:00:00,-0.7,625.0,441.8,188.4,6.7,9.7,82.0,61.6,5.20,14.48
 01/03  06:00:00,-1.8,637.0,458.3,168.1,6.7,9.6,82.0,61.6,5.38,13.41
 01/03  07:00:00,-2.9,644.9,471.1,142.0,6.7,9.9,82.0,61.6,5.52,11.10
 01/03  08:00:00,-3.3,847.2,408.2,136.3,6.7,10.1,82.0,60.7,4.70,10.13
 01/03  09:00:00,-4.0,1073.4,354.1,138.6,6.7,9.8,82.0,59.8,3.95,10.35
 01/03  10:00:00,-4.4,1115.6,334.8,130.8,6.7,9.8,82.0,59.6,3.64,9.93
 01/03  11:00:00,-4.1,1116.0,319.4,134.3,6.7,9.8,82.0,59.5,3.43,10.27
 01/03  12:00:00,-3.5,1114.4,306.1,141.5,6.7,9.8,82.0,59.5,3.27,10.83
 01/03  13:00:00,-3.0,1070.9,295.1,149.0,6.7,9.8,82.0,59.5,3.14,11.37
 01/03  14:00:00,-2.8,1113.3,289.9,151.7,6.7,9.9,82.0,59.6,3.09,11.53
 01/03  15:00:00,-2.8,1112.3,282.5,152.8,6.7,9.8,82.0,59.6,3.01,11.59
 01/03  16:00:00,-2.8,1111.1,278.1,153.1,6.7,9.8,82.0,59.5,2.96,11.66
 01/03  17:00:00,-2.8,867.8,342.1,139.3,6.7,10.3,82.0,59.9,3.66,10.08
 01/03  18:00:00,-2.8,876.5,365.3,158.0,6.7,9.9,82.0,60.1,3.94,11.44
 01/03  19:00:00,-2.8,801.1,377.9,153.1,6.7,9.9,82.0,60.2,4.11,11.38
 01/03  20:00:00,-2.8,797.4,381.3,151.5,6.7,9.9,82.0,60.3,4.18,11.36
 01/03  21:00:00,-2.8,792.7,388.2,150.5,6.7,9.9,82.0,60.4,4.27,11.31
 01/03  22:00:00,-2.8,752.0,396.5,149.8,6.7,9.9,82.0,60.5,4.38,11.26
 01/03  23:00:00,-2.8,740.4,406.4,149.5,6.7,9.9,82.0,60.7,4.52,11.19
 01/03  24:00:00,-2.8,642.8,443.1,149.8,6.7,9.9,82.0,61.2,5.01,11.19
 01/04  01:00:00,-2.8,641.3,445.0,149.2,6.7,9.9,82.0,61.3,5.10,11.14
 01/04  02:00:00,-2.8,642.0,451.5,149.1,6.7,9.9,82.0,61.5,5.22,11.12
 01/04  03:00:00,-2.8,642.5,457.4,148.9,6.7,9.9,82.0,61.6,5.33,11.08
 01/04  04:00:00,-3.1,642.5,462.8,146.1,6.7,9.9,82.0,61.6,5.42,10.86
 01/04  05:00:00,-3.3,642.5,464.9,142.6,6.7,9.9,82.0,61.6,5.45,10.64
 01/04  06:00:00,-3.3,642.3,465.2,142.5,6.7,9.9,82.0,61.6,5.46,10.66
 01/04  07:00:00,-3.0,636.1,464.5,145.9,6.7,9.9,82.0,61.6,5.44,10.94
 01/04  08:00:00,-2.8,833.4,403.6,144.5,6.7,10.1,82.0,60.8,4.66,10.57
 01/04  09:00:00,-2.4,1056.5,337.2,159.0,6.7,9.9,82.0,60.3,3.80,11.75
 01/04  10:00:00,-1.9,1098.3,313.3,164.5,6.7,9.9,82.0,60.2,3.48,12.30
 01/04  11:00:00,-1.7,1095.4,299.7,167.2,6.7,9.9,82.0,60.0,3.29,12.54
 01/04  12:00:00,-1.3,1090.8,291.1,171.8,6.7,9.9,82.0,59.8,3.17,12.92
 01/04  13:00:00,-0.8,1047.1,282.9,179.3,6.7,9.9,82.0,59.7,3.06,13.48
 01/04  14:00:00,-0.6,1088.9,278.2,182.1,6.7,9.9,82.0,59.7,3.00,13.68
 01/04  15:00:00,-0.9,1085.0,280.3,178.9,6.7,9.9,82.0,59.6,3.01,13.43
 01/04  16:00:00,-1.1,1086.2,286.2,175.1,6.7,9.9,82.0,59.8,3.07,13.15
 01/04  17:00:00,-2.2,863.7,354.6,157.2,6.7,10.1,82.0,60.5,3.85,11.50
 01/04  18:00:00,-3.5,885.0,393.0,147.1,6.7,9.9,82.0,60.6,4.33,10.83
 01/04  19:00:00,-4.6,815.9,417.8,130.5,6.7,9.9,82.0,60.7,4.65,9.75
 01/04  20:00:00,-5.0,819.0,423.9,122.3,6.7,9.8,82.0,60.8,4.75,9.22
 01/04  21:00:00,-4.6,817.4,432.2,131.5,6.7,9.7,82.0,61.0,4.87,10.06
 01/04  22:00:00,-4.8,777.6,442.4,130.5,6.7,9.5,82.0,61.1,5.03,10.47
 01/04  23:00:00,-5.7,774.9,451.7,116.7,6.7,9.5,82.0,61.1,5.16,9.64
 01/04  24:00:00,-6.8,683.1,496.7,93.8,6.7,9.7,82.0,61.5,5.72,7.76
