Time (HH:MM),GHI (W/m^2),TotCld (tenths)
1:00,0,0
2:00,0,0
3:00,0,0
4:00,0,0
5:00,0,0
6:00,0,0
7:00,0,0
8:00,0,0
9:00,119,0
10:00,301,0
11:00,434,0
12:00,537,0
13:00,584,0
14:00,552,0
15:00,485,0
16:00,225,0
17:00,188,2
18:00,0,2
19:00,0,1
20:00,0,1
21:00,0,1
22:00,0,0
23:00,0,1
24:00:00,0,1
1:00,0,6
2:00,0,7
3:00,0,8
4:00,0,5
5:00,0,4
6:00,0,2
7:00,0,2
8:00,0,3
9:00,58,3
10:00,269,6
11:00,391,3
12:00,457,6
13:00,292,7
14:00,292,9
15:00,278,9
16:00,129,8
17:00,184,8
18:00,0,2
19:00,0,2
20:00,0,3
21:00,0,3
22:00,0,1
23:00,0,1
24:00:00,0,1
1:00,0,1
2:00,0,0
3:00,0,5
4:00,0,5
5:00,0,5
6:00,0,4
7:00,0,1
8:00,0,2
9:00,93,3
10:00,315,4
11:00,412,8
12:00,194,2
13:00,243,7
14:00,272,9
15:00,228,9
16:00,163,7
17:00,197,8
18:00,1,8
19:00,0,6
20:00,0,7
21:00,0,6
22:00,0,1
23:00,0,0
24:00:00,0,0
1:00,0,0
2:00,0,0
3:00,0,1
4:00,0,0
5:00,0,1
6:00,0,0
7:00,0,0
8:00,0,0
9:00,118,0
10:00,301,0
11:00,444,0
12:00,542,0
13:00,583,0
14:00,545,0
15:00,483,0
16:00,342,0
17:00,193,3
18:00,1,3
19:00,0,3
20:00,0,0
21:00,0,0
22:00,0,0
23:00,0,0
24:00:00,0,0
1:00,0,0
2:00,0,0
3:00,0,0
4:00,0,0
5:00,0,1
6:00,0,3
7:00,0,3
8:00,0,0
9:00,115,2
10:00,296,0
11:00,438,0
12:00,542,0
13:00,552,0
14:00,583,3
15:00,483,1
16:00,332,4
17:00,188,4
18:00,2,3
19:00,0,5
20:00,0,0
21:00,0,0
22:00,0,0
23:00,0,0
24:00:00,0,1
1:00,0,0
2:00,0,0
3:00,0,0
4:00,0,0
5:00,0,0
6:00,0,0
7:00,0,0
8:00,0,1
9:00,64,6
10:00,314,6
11:00,412,1
12:00,559,2
13:00,546,2
14:00,544,3
15:00,446,1
16:00,339,0
17:00,201,0
18:00,2,1
19:00,0,0
20:00,0,0
21:00,0,1
22:00,0,0
23:00,0,0
24:00:00,0,0
1:00,0,0
2:00,0,0
3:00,0,0
