timestamp,tempm,hum,Extraterrestrial Horizontal Radiation {Wh/m2},Extraterrestrial Direct Normal Radiation {Wh/m2},Horizontal Infrared Radiation Intensity from Sky {Wh/m2},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Global Horizontal Illuminance {lux},Direct Normal Illuminance {lux},Diffuse Horizontal Illuminance {lux},Zenith Luminance {Cd/m2},wdird,wspdm,Total Sky Cover {.1},Opaque Sky Cover {.1}
01/01/2012 00:00,12.2,93,0,0,332,0,0,0,0,0,0,0,60,1.5,7,7
01/01/2012 01:00,12.2,86,0,0,336,0,0,0,0,0,0,0,70,4.1,8,8
01/01/2012 02:00,11.7,86,0,0,321,0,0,0,0,0,0,0,70,2.1,5,5
01/01/2012 03:00,11.1,90,0,0,311,0,0,0,0,0,0,0,0,0.0,2,2
01/01/2012 04:00,11.1,86,0,0,318,0,0,0,0,0,0,0,40,2.6,5,5
01/01/2012 05:00,10.6,93,0,0,314,0,0,0,0,0,0,0,50,2.1,4,4
01/01/2012 06:00,10.0,96,0,0,311,0,0,0,0,0,0,0,40,1.5,4,4
01/01/2012 07:00,10.6,93,121,1403,319,36,56,31,3952,2947,3683,645,50,3.1,6,6
01/01/2012 08:00,12.8,83,359,1415,334,132,84,111,14485,7382,12601,2755,40,3.1,7,7
01/01/2012 09:00,13.3,83,555,1415,337,231,254,131,24918,25043,15047,2653,60,1.5,7,7
01/01/2012 10:00,13.9,78,693,1415,339,392,405,193,42050,41851,21470,4299,90,2.6,8,7
01/01/2012 11:00,14.4,78,763,1415,342,374,338,192,40666,35512,21450,4371,80,2.1,9,7
01/01/2012 12:00,15.6,72,759,1415,348,320,197,214,35126,20431,24116,5480,220,1.5,10,7
01/01/2012 13:00,15.6,78,684,1415,349,356,341,192,38287,35149,21231,4263,260,3.1,10,7
01/01/2012 14:00,16.7,75,541,1415,343,302,508,108,32362,48336,13809,2060,250,4.1,5,3
01/01/2012 15:00,16.7,75,340,1415,345,106,126,76,11724,10693,9139,1659,250,4.1,10,4
01/01/2012 16:00,15.0,81,101,1285,334,40,46,36,4300,2287,4108,748,260,3.6,7,3
01/01/2012 17:00,15.0,78,0,0,336,0,0,0,0,0,0,0,260,4.1,5,4
01/01/2012 18:00,14.4,84,0,0,328,0,0,0,0,0,0,0,270,4.1,2,2
01/01/2012 19:00,14.4,84,0,0,328,0,0,0,0,0,0,0,330,3.1,2,2
01/01/2012 20:00,13.9,83,0,0,325,0,0,0,0,0,0,0,300,2.1,2,2
01/01/2012 21:00,12.8,86,0,0,315,0,0,0,0,0,0,0,0,0.0,1,1
01/01/2012 22:00,12.8,86,0,0,315,0,0,0,0,0,0,0,0,0.0,1,1
01/01/2012 23:00,12.2,86,0,0,322,0,0,0,0,0,0,0,0,0.0,4,4
01/02/2012 00:00,12.2,90,0,0,354,0,0,0,0,0,0,0,0,0.0,10,10
01/02/2012 01:00,11.7,93,0,0,326,0,0,0,0,0,0,0,100,1.5,6,6
01/02/2012 02:00,11.1,93,0,0,326,0,0,0,0,0,0,0,0,0.0,7,7
01/02/2012 03:00,11.7,96,0,0,352,0,0,0,0,0,0,0,80,2.1,10,10
01/02/2012 04:00,11.7,93,0,0,352,0,0,0,0,0,0,0,80,2.1,10,10
01/02/2012 05:00,11.7,93,0,0,352,0,0,0,0,0,0,0,0,0.0,10,10
01/02/2012 06:00,11.1,100,0,0,349,0,0,0,0,0,0,0,90,2.6,10,10
01/02/2012 07:00,11.1,96,120,1403,349,22,3,22,2500,0,2500,780,90,2.6,10,10
01/02/2012 08:00,11.7,96,359,1415,352,115,25,108,12500,2200,12000,2700,80,3.1,10,10
01/02/2012 09:00,12.2,93,556,1415,355,136,8,132,15400,600,15200,5200,90,2.6,10,10
01/02/2012 10:00,12.8,93,694,1415,358,221,9,217,25000,800,24600,8270,100,3.6,10,10
01/02/2012 11:00,12.8,100,764,1415,360,244,9,239,27600,800,27200,9370,80,4.1,10,10
01/02/2012 12:00,12.8,100,762,1415,360,228,5,225,25900,400,25700,8990,90,3.6,10,10
01/02/2012 13:00,12.8,100,686,1415,360,134,7,130,15600,500,15400,5690,80,5.2,10,10
01/02/2012 14:00,12.8,100,544,1415,360,172,1,172,19200,100,19200,6110,80,3.1,10,10
01/02/2012 15:00,12.8,100,344,1415,360,55,2,55,6400,100,6400,2170,90,5.2,10,10
01/02/2012 16:00,12.8,100,104,1309,360,19,0,19,2200,0,2200,690,100,3.6,10,10
01/02/2012 17:00,12.8,100,0,0,360,0,0,0,0,0,0,0,110,1.5,10,10
01/02/2012 18:00,12.8,100,0,0,360,0,0,0,0,0,0,0,90,4.1,10,10
01/02/2012 19:00,12.8,100,0,0,360,0,0,0,0,0,0,0,110,3.1,10,10
01/02/2012 20:00,12.8,100,0,0,360,0,0,0,0,0,0,0,140,2.1,10,10
01/02/2012 21:00,12.8,100,0,0,360,0,0,0,0,0,0,0,170,6.2,10,10
01/02/2012 22:00,12.8,100,0,0,360,0,0,0,0,0,0,0,180,8.8,10,10
01/02/2012 23:00,12.8,100,0,0,360,0,0,0,0,0,0,0,200,9.3,10,10
01/03/2012 00:00,13.9,100,0,0,366,0,0,0,0,0,0,0,240,10.3,10,10
01/03/2012 01:00,13.9,96,0,0,366,0,0,0,0,0,0,0,260,7.2,10,10
01/03/2012 02:00,13.3,90,0,0,361,0,0,0,0,0,0,0,270,4.6,10,10
01/03/2012 03:00,12.8,75,0,0,354,0,0,0,0,0,0,0,340,3.6,10,10
01/03/2012 04:00,11.7,64,0,0,317,0,0,0,0,0,0,0,360,6.2,5,5
01/03/2012 05:00,11.7,57,0,0,303,0,0,0,0,0,0,0,340,4.1,1,1
01/03/2012 06:00,11.7,51,0,0,296,0,0,0,0,0,0,0,320,6.2,0,0
01/03/2012 07:00,11.7,53,120,1403,296,54,352,21,5300,21000,3400,390,320,6.2,0,0
01/03/2012 08:00,12.8,49,359,1415,301,213,680,39,22300,58600,7300,830,340,5.2,0,0
01/03/2012 09:00,14.4,44,556,1415,313,358,776,51,37600,73400,8700,1210,330,3.1,1,1
01/03/2012 10:00,14.4,51,695,1415,310,498,876,67,52300,85200,10200,1510,70,1.5,1,0
01/03/2012 11:00,15.0,48,766,1415,312,554,882,76,58000,86500,11000,1680,260,4.1,2,0
01/03/2012 12:00,15.0,54,764,1415,320,513,816,72,53800,80100,10400,1650,240,6.2,3,1
01/03/2012 13:00,15.0,58,689,1415,321,394,624,91,42200,61900,11900,1970,240,6.7,4,1
01/03/2012 14:00,15.0,60,547,1415,321,339,724,61,36000,68600,9300,1290,230,6.7,2,1
01/03/2012 15:00,16.1,58,347,1415,327,190,594,46,19800,50300,7400,900,260,5.2,2,1
01/03/2012 16:00,15.6,62,107,1309,325,47,254,21,4400,13400,3300,380,270,6.2,2,1
01/03/2012 17:00,15.6,60,0,0,319,0,0,0,0,0,0,0,300,5.2,0,0
01/03/2012 18:00,15.0,67,0,0,317,0,0,0,0,0,0,0,300,4.1,0,0
01/03/2012 19:00,13.9,47,0,0,306,0,0,0,0,0,0,0,350,2.6,0,0
01/03/2012 20:00,13.3,49,0,0,303,0,0,0,0,0,0,0,360,3.1,0,0
01/03/2012 21:00,12.8,51,0,0,301,0,0,0,0,0,0,0,330,2.1,0,0
01/03/2012 22:00,12.2,53,0,0,299,0,0,0,0,0,0,0,360,2.6,0,0
01/03/2012 23:00,11.7,55,0,0,297,0,0,0,0,0,0,0,360,2.6,0,0
01/04/2012 00:00,10.6,57,0,0,292,0,0,0,0,0,0,0,0,0.0,0,0
01/04/2012 01:00,9.4,66,0,0,288,0,0,0,0,0,0,0,0,0.0,0,0
01/04/2012 02:00,7.2,80,0,0,279,0,0,0,0,0,0,0,100,1.5,0,0
01/04/2012 03:00,7.2,80,0,0,279,0,0,0,0,0,0,0,360,1.0,0,0
01/04/2012 04:00,7.8,74,0,0,281,0,0,0,0,0,0,0,20,3.1,0,0
01/04/2012 05:00,7.2,71,0,0,278,0,0,0,0,0,0,0,20,1.0,0,0
01/04/2012 06:00,7.8,68,0,0,280,0,0,0,0,0,0,0,60,1.5,0,0
01/04/2012 07:00,8.9,68,120,1403,286,46,167,30,4700,8100,4000,540,60,1.5,0,0
01/04/2012 08:00,10.6,66,359,1415,299,186,472,66,19100,39400,9100,1200,70,4.1,1,1
01/04/2012 09:00,12.8,64,557,1415,315,366,674,99,37900,63600,12800,1920,70,2.6,2,2
01/04/2012 10:00,13.9,69,696,1415,322,434,560,158,46200,56000,18500,3300,70,3.6,2,2
01/04/2012 11:00,15.0,62,768,1415,335,503,625,163,52000,61500,18500,3470,110,3.1,5,5
01/04/2012 12:00,15.6,56,766,1415,334,462,397,247,49300,41600,26600,5920,140,3.6,4,4
01/04/2012 13:00,15.6,60,692,1415,335,359,425,151,38300,42500,17500,3130,260,3.1,4,4
01/04/2012 14:00,15.0,65,550,1415,327,334,617,95,34900,58100,12200,1850,240,5.2,2,2
01/04/2012 15:00,15.0,60,351,1415,321,169,422,65,17400,34900,8800,1180,250,4.1,1,1
01/04/2012 16:00,13.9,67,110,1332,317,38,123,26,3900,5800,3400,460,260,4.6,1,1
01/04/2012 17:00,12.8,69,0,0,306,0,0,0,0,0,0,0,260,3.6,0,0
01/04/2012 18:00,11.7,74,0,0,307,0,0,0,0,0,0,0,240,2.6,1,1
01/04/2012 19:00,12.2,64,0,0,307,0,0,0,0,0,0,0,270,2.1,1,1
01/04/2012 20:00,12.2,64,0,0,322,0,0,0,0,0,0,0,360,1.0,6,6
01/04/2012 21:00,11.7,74,0,0,322,0,0,0,0,0,0,0,60,3.6,6,6
01/04/2012 22:00,10.6,77,0,0,302,0,0,0,0,0,0,0,70,2.6,1,1
01/04/2012 23:00,10.0,80,0,0,299,0,0,0,0,0,0,0,80,2.1,1,1
01/05/2012 00:00,10.0,80,0,0,303,0,0,0,0,0,0,0,300,2.6,2,2
01/05/2012 01:00,8.9,83,0,0,288,0,0,0,0,0,0,0,30,2.6,0,0
01/05/2012 02:00,8.3,86,0,0,286,0,0,0,0,0,0,0,50,1.5,0,0
01/05/2012 03:00,8.3,86,0,0,286,0,0,0,0,0,0,0,30,2.1,0,0
01/05/2012 04:00,7.8,83,0,0,283,0,0,0,0,0,0,0,70,2.1,0,0
01/05/2012 05:00,7.8,86,0,0,289,0,0,0,0,0,0,0,50,2.6,3,1
01/05/2012 06:00,9.4,80,0,0,300,0,0,0,0,0,0,0,50,2.1,5,2
01/05/2012 07:00,8.3,89,120,1380,299,37,49,32,4000,2600,3700,670,90,2.6,7,3
01/05/2012 08:00,9.4,86,360,1415,327,82,29,75,9100,2500,8400,2020,90,2.6,10,9
01/05/2012 09:00,10.0,86,558,1415,340,73,4,71,8700,200,8600,3170,90,3.6,10,10
01/05/2012 10:00,11.7,80,698,1415,323,396,385,206,42400,39800,22600,4660,50,2.6,10,6
01/05/2012 11:00,13.3,75,770,1415,331,430,294,269,45400,30800,28600,6580,60,1.5,10,6
01/05/2012 12:00,13.3,69,769,1415,356,258,0,258,29100,0,29100,9850,250,4.1,10,10
01/05/2012 13:00,13.3,64,695,1415,345,263,50,239,28900,5000,26400,6890,240,4.1,9,9
01/05/2012 14:00,13.3,72,554,1415,357,110,34,97,12200,3200,10900,2940,230,6.2,10,10
01/05/2012 15:00,11.1,86,354,1415,347,50,8,48,5900,300,5800,1960,310,4.6,10,10
01/05/2012 16:00,10.6,90,114,1356,344,14,2,14,1700,0,1700,530,210,1.5,10,10
01/05/2012 17:00,10.6,90,0,0,344,0,0,0,0,0,0,0,100,3.1,10,10
01/05/2012 18:00,10.6,93,0,0,335,0,0,0,0,0,0,0,70,6.2,9,9
01/05/2012 19:00,10.0,96,0,0,342,0,0,0,0,0,0,0,40,4.1,10,10
01/05/2012 20:00,9.4,96,0,0,338,0,0,0,0,0,0,0,50,5.2,10,10
01/05/2012 21:00,8.3,96,0,0,323,0,0,0,0,0,0,0,50,5.7,10,9
01/05/2012 22:00,8.3,96,0,0,323,0,0,0,0,0,0,0,50,5.2,10,9
01/05/2012 23:00,8.3,93,0,0,315,0,0,0,0,0,0,0,80,4.1,9,8
01/06/2012 00:00,8.3,96,0,0,323,0,0,0,0,0,0,0,80,4.1,9,9
01/06/2012 01:00,8.3,100,0,0,332,0,0,0,0,0,0,0,80,4.1,10,10
01/06/2012 02:00,8.3,96,0,0,323,0,0,0,0,0,0,0,90,5.2,9,9
01/06/2012 03:00,8.3,96,0,0,323,0,0,0,0,0,0,0,80,7.7,9,9
01/06/2012 04:00,8.3,96,0,0,323,0,0,0,0,0,0,0,80,5.7,9,9
01/06/2012 05:00,8.3,96,0,0,332,0,0,0,0,0,0,0,80,7.2,10,10
01/06/2012 06:00,8.3,93,0,0,331,0,0,0,0,0,0,0,80,6.7,10,10
01/06/2012 07:00,8.3,93,120,1380,331,13,2,13,1600,0,1600,500,70,6.2,10,10
01/06/2012 08:00,8.3,96,360,1415,332,58,7,56,6700,300,6700,2240,60,3.1,10,10
01/06/2012 09:00,8.3,100,559,1415,332,92,7,89,10800,400,10600,3840,70,4.6,10,10
01/06/2012 10:00,8.9,100,699,1415,327,171,75,134,19200,7800,15400,3320,70,6.2,10,9
01/06/2012 11:00,10.6,96,772,1415,345,329,71,290,36100,7200,32100,8540,70,5.2,10,10
01/06/2012 12:00,10.6,96,772,1415,345,102,6,99,12400,400,12200,4750,60,7.7,10,10
01/06/2012 13:00,10.6,96,698,1415,345,260,1,259,28800,100,28800,9180,80,5.7,10,10
01/06/2012 14:00,11.1,96,557,1415,349,110,5,108,12800,300,12600,4480,70,7.7,10,10
01/06/2012 15:00,11.1,90,358,1415,347,51,1,50,5900,0,5900,2030,360,3.1,10,10
01/06/2012 16:00,11.1,93,117,1380,348,14,1,14,1700,0,1700,540,70,6.7,10,10
01/06/2012 17:00,11.1,93,0,0,348,0,0,0,0,0,0,0,80,6.7,10,10
01/06/2012 18:00,10.6,96,0,0,345,0,0,0,0,0,0,0,60,6.7,10,10
01/06/2012 19:00,10.6,96,0,0,345,0,0,0,0,0,0,0,80,5.2,10,10
01/06/2012 20:00,11.1,93,0,0,348,0,0,0,0,0,0,0,70,6.2,10,10
01/06/2012 21:00,11.1,93,0,0,348,0,0,0,0,0,0,0,70,5.7,10,10
01/06/2012 22:00,11.1,93,0,0,348,0,0,0,0,0,0,0,70,6.2,10,10
01/06/2012 23:00,11.1,90,0,0,347,0,0,0,0,0,0,0,40,1.5,10,10
01/07/2012 00:00,10.6,96,0,0,345,0,0,0,0,0,0,0,80,5.2,10,10
01/07/2012 01:00,10.6,96,0,0,345,0,0,0,0,0,0,0,70,6.2,10,10
01/07/2012 02:00,10.6,100,0,0,346,0,0,0,0,0,0,0,80,3.6,10,10
01/07/2012 03:00,10.6,100,0,0,346,0,0,0,0,0,0,0,80,4.6,10,10
01/07/2012 04:00,10.6,100,0,0,346,0,0,0,0,0,0,0,70,3.6,10,10
01/07/2012 05:00,10.6,100,0,0,337,0,0,0,0,0,0,0,60,4.1,9,9
01/07/2012 06:00,11.1,96,0,0,349,0,0,0,0,0,0,0,40,3.6,10,10
01/07/2012 07:00,11.1,96,120,1379,349,32,1,31,3500,0,3500,1010,70,4.1,10,10
01/07/2012 08:00,11.1,100,361,1415,349,118,0,118,12900,0,12900,3770,50,2.6,10,10
01/07/2012 09:00,11.1,100,560,1415,349,175,1,174,19500,100,19400,6270,30,4.6,10,10
01/07/2012 10:00,11.7,93,701,1415,352,233,1,233,26200,100,26200,8690,350,3.6,10,10
01/07/2012 11:00,11.1,96,774,1415,349,169,0,169,19700,0,19700,7400,340,3.6,10,10
01/07/2012 12:00,11.1,90,775,1415,347,170,1,169,19800,100,19700,7400,320,4.6,10,10
01/07/2012 13:00,10.0,96,702,1415,342,224,1,224,25300,100,25200,8500,280,3.1,10,10
01/07/2012 14:00,10.0,93,561,1415,341,190,1,190,21100,100,21100,6600,330,4.6,10,10
01/07/2012 15:00,11.1,83,362,1415,346,101,0,101,11200,0,11200,3450,350,3.1,10,10
01/07/2012 16:00,11.1,83,121,1403,346,17,0,17,2000,0,2000,630,180,2.1,10,10
01/07/2012 17:00,10.6,83,0,0,343,0,0,0,0,0,0,0,320,4.6,10,10
01/07/2012 18:00,10.6,83,0,0,343,0,0,0,0,0,0,0,310,5.2,10,10
01/07/2012 19:00,10.6,80,0,0,342,0,0,0,0,0,0,0,310,3.6,10,10
01/07/2012 20:00,10.6,77,0,0,342,0,0,0,0,0,0,0,310,4.1,10,10
01/07/2012 21:00,10.6,69,0,0,340,0,0,0,0,0,0,0,280,4.1,10,10
01/07/2012 22:00,11.1,61,0,0,341,0,0,0,0,0,0,0,290,1.5,10,10
01/07/2012 23:00,11.1,61,0,0,341,0,0,0,0,0,0,0,320,2.6,10,10
01/08/2012 00:00,10.6,66,0,0,303,0,0,0,0,0,0,0,10,2.1,2,2
01/08/2012 01:00,9.4,80,0,0,290,0,0,0,0,0,0,0,50,1.5,0,0
01/08/2012 02:00,7.2,93,0,0,282,0,0,0,0,0,0,0,210,2.6,0,0
01/08/2012 03:00,6.7,93,0,0,279,0,0,0,0,0,0,0,210,1.5,0,0
01/08/2012 04:00,6.7,96,0,0,280,0,0,0,0,0,0,0,330,1.5,0,0
01/08/2012 05:00,5.6,93,0,0,274,0,0,0,0,0,0,0,100,1.5,0,0
01/08/2012 06:00,5.6,100,0,0,275,0,0,0,0,0,0,0,80,2.1,0,0
01/08/2012 07:00,6.7,100,120,1379,280,40,63,33,4200,3300,3900,690,120,2.1,0,0
01/08/2012 08:00,9.4,93,361,1415,293,171,348,81,17800,29000,10400,1490,120,1.5,0,0
01/08/2012 09:00,11.7,83,561,1415,303,331,540,116,35300,51800,14600,2240,120,1.5,0,0
