Qch(tons),P(kW)
1.053099336,0.414006645
1.053099336,0.414206319
1.053099336,0.413679583
1.053099336,0.414095134
1.053099336,0.413773183
1.053099336,0.414349719
1.053099336,0.413476031
1.053099336,0.413955645
1.053099336,0.413467041
1.053099336,0.413377148
1.053099336,0.414189168
1.053099336,0.41454505
1.053099336,0.414723634
1.053099336,0.414857994
1.053099336,0.414837062
1.053099336,0.41485516
1.053099336,0.414882926
1.053099336,0.41481777
1.053099336,0.412814692
1.053099336,0.413847931
1.053099336,0.414384737
1.053099336,0.414680767
1.053099336,0.414846299
1.053099336,0.413273133
1.053099336,0.412703266
1.053099336,0.413618303
1.053099336,0.414129228
1.053099336,0.412848958
1.053099336,0.412552822
1.053099336,0.413610704
1.053099336,0.414152733
1.053099336,0.412878957
1.053099336,0.412584189
1.053099336,0.413642527
1.053099336,0.414184674
1.053099336,0.412910662
1.053099336,0.412615809
1.053099336,0.413674281
1.053099336,0.414216477
1.053099336,0.414513691
1.053099336,0.41467956
1.053099336,0.414811189
1.053099336,0.414743939
1.053099336,0.413531985
1.053099336,0.414073323
1.053099336,0.414012725
1.053099336,0.414282368
1.053099336,0.413797522
1.053099336,0.414215697
1.053099336,0.414165967
1.053099336,0.413312493
1.053099336,0.413972942
1.053099336,0.41283285
1.053099336,0.412567005
1.053099336,0.413631673
1.053099336,0.414175193
1.053099336,0.412901553
1.053099336,0.41260679
1.053099336,0.413665238
1.053099336,0.414207424
1.053099336,0.414504636
1.053099336,0.41467051
1.053099336,0.414802143
1.053099336,0.414799002
1.053099336,0.414815838
1.053099336,0.414915106
1.053099336,0.414904819
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
42.49869776,17.44853422
24.56659709,9.925470658
14.39208144,5.77619127
8.619846406,3.443457801
5.345349359,2.126299831
3.48785126,1.38163698
2.434186124,0.960254167
1.836502399,0.721483926
1.49747314,0.585874284
1.30516344,0.510801337
1.196078647,0.469323385
1.134202014,0.445630692
1.099103493,0.432289952
1.079194432,0.423129454
1.067901345,0.418397564
1.06149553,0.416953552
1.057861937,0.4160707
1.055800842,0.41555799
1.054631721,0.415263953
1.053968556,0.415134585
1.053592387,0.414983295
1.053379011,0.414916107
1.053257977,0.414967725
1.053189323,0.414930403
1.05315038,0.414930267
1.05312829,0.413315579
1.05311576,0.412733661
1.053108653,0.41364445
1.053104621,0.414153488
1.053102334,0.412872068
1.053101037,0.412575345
1.053100301,0.413633028
1.053099884,0.414174926
1.053099647,0.412900884
1.053099513,0.412606002
1.053099437,0.413664402
1.053099393,0.414206566
1.053099369,0.414503768
1.053099355,0.414669636
1.053099347,0.414801267
1.053099342,0.414798124
1.05309934,0.414814961
1.053099338,0.414914228
1.053099338,0.414903943
1.053099337,0.414919138
1.053099337,0.413313111
1.053099337,0.412736081
1.053099336,0.413649678
1.053099336,0.414160309
1.053099336,0.412879722
1.053099336,0.412583483
