Qin(MMBtu/h),Qch(MMBtu/h)
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1.735029129,1.318110891
1.715369668,1.303334763
1.713839181,1.302226844
1.713185024,1.301768001
1.712281404,1.301113321
1.711204717,1.300322638
1.710013644,1.299442134
1.922934741,1.460566965
1.750281148,1.329447058
1.748344503,1.328030556
1.750446127,1.329647116
1.750757092,1.329902576
1.75021224,1.329506959
1.795645778,1.363438079
1.688226661,1.282801485
1.708166763,1.297910814
1.704466182,1.295180632
1.700959307,1.292586814
1.699351861,1.291414817
1.908337011,1.449451666
1.737198055,1.319625947
1.736513487,1.319162075
1.783766309,1.35447562
1.67825975,1.275324712
1.700684129,1.292307866
1.69800698,1.290350992
1.694939268,1.288088687
1.693454295,1.287008956
1.692849732,1.286583483
1.692639643,1.286447715
1.692723672,1.286527516
1.693409823,1.287055717
1.69441119,1.287816968
1.695539103,1.288669919
1.696737398,1.289573015
1.697943205,1.29047969
1.69913646,1.291375391
1.703460364,1.294625808
1.70682211,1.297147332
1.709180032,1.298910932
1.71145403,1.30061098
1.713632653,1.302239079
1.715742141,1.303815158
1.709605925,1.299183949
1.680558695,1.277329607
1.670101046,1.26950273
1.668734604,1.268516715
1.671763799,1.270827007
1.677169578,1.274912133
1.684324665,1.280301
1.692421469,1.286387401
1.701226811,1.292997958
1.710330777,1.299826152
1.719496726,1.306695702
1.728800447,1.313665404
1.737716147,1.320340645
1.746427017,1.326860937
1.755103579,1.33335577
1.763649921,1.339753312
1.772151802,1.346118666
1.77937367,1.35152015
1.425075101,1.085236604
1.506524589,1.147322381
