timestamp,tempm,hum,Extraterrestrial Horizontal Radiation {Wh/m2},Extraterrestrial Direct Normal Radiation {Wh/m2},Horizontal Infrared Radiation Intensity from Sky {Wh/m2},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Global Horizontal Illuminance {lux},Direct Normal Illuminance {lux},Diffuse Horizontal Illuminance {lux},Zenith Luminance {Cd/m2},wdird,wspdm,Total Sky Cover {.1},Opaque Sky Cover {.1}
1/1/2018,-12.8,65,0,0,243,0,0,0,0,0,0,0,260,7.2,8,7
1/1/2018,-12.8,68,0,0,247,0,0,0,0,0,0,0,270,5.2,8,8
1/1/2018,-13.3,62,0,0,261,0,0,0,0,0,0,0,260,6.7,10,10
1/1/2018,-13.3,56,0,0,263,0,0,0,0,0,0,0,270,7.2,10,10
1/1/2018,-13.3,59,0,0,251,0,0,0,0,0,0,0,270,9.3,8,8
1/1/2018,-13.9,62,0,0,249,0,0,0,0,0,0,0,260,6.7,8,8
1/1/2018,-13.9,68,0,0,239,0,0,0,0,0,0,0,250,6.2,5,5
1/1/2018,-13.9,59,46,931,240,5,98,3,916,5596,613,114,260,8.8,4,4
1/1/2018,-13.3,49,246,1415,239,131,345,70,13276,24133,9047,1302,270,9.3,3,3
1/1/2018,-11.7,38,426,1415,239,270,577,95,27359,50197,12162,1684,290,10.3,3,3
1/1/2018,-11.1,35,553,1415,246,346,501,149,35825,47721,17080,2953,260,9.8,5,5
1/1/2018,-10,33,618,1415,252,264,139,203,28573,13896,22473,4862,280,8.8,8,8
1/1/2018,-9.4,32,617,1415,250,390,347,239,40681,34857,25414,5549,290,9.3,8,8
1/1/2018,-8.3,46,549,1415,248,74,0,74,8824,0,8824,3264,300,7.7,8,8
1/1/2018,-7.8,32,420,1415,238,207,260,129,21659,23342,14697,2645,290,9.8,5,5
1/1/2018,-7.8,24,238,1415,233,72,54,62,7787,4179,7079,1516,330,7.7,4,4
1/1/2018,-7.8,35,40,861,229,5,53,4,753,2368,632,81,330,9.3,5,5
1/1/2018,-7.8,30,0,0,222,0,0,0,0,0,0,0,320,10.8,3,3
1/1/2018,-8.3,31,0,0,224,0,0,0,0,0,0,0,320,9.3,9,5
1/1/2018,-8.3,33,0,0,218,0,0,0,0,0,0,0,320,11.3,3,3
1/1/2018,-8.3,23,0,0,200,0,0,0,0,0,0,0,320,10.8,0,0
1/1/2018,-8.3,26,0,0,197,0,0,0,0,0,0,0,330,7.2,0,0
1/1/2018,-8.9,29,0,0,199,0,0,0,0,0,0,0,330,9.3,2,1
1/1/2018,-9.4,36,0,0,199,0,0,0,0,0,0,0,320,8.8,1,1
1/2/2018,-9.4,39,0,0,198,0,0,0,0,0,0,0,320,7.7,1,1
1/2/2018,-9.4,42,0,0,202,0,0,0,0,0,0,0,340,5.2,4,4
1/2/2018,-10,44,0,0,193,0,0,0,0,0,0,0,340,2.6,0,0
1/2/2018,-10,46,0,0,197,0,0,0,0,0,0,0,330,2.6,1,1
1/2/2018,-10.6,51,0,0,196,0,0,0,0,0,0,0,300,2.6,1,1
1/2/2018,-11,49,0,0,202,0,0,0,0,0,0,0,310,3.6,3,3
1/2/2018,-10.6,49,0,0,202,0,0,0,0,0,0,0,290,2.1,3,3
1/2/2018,-10.6,49,46,932,206,5,78,4,900,4200,700,110,330,3.1,4,4
1/2/2018,-10,47,246,1415,206,148,276,100,15100,19000,11800,2120,330,3.6,4,3
1/2/2018,-8.9,40,427,1415,219,194,188,137,20900,17100,15700,3070,310,3.6,8,7
1/2/2018,-7.8,36,554,1415,218,314,360,172,33100,35400,19200,3690,0,0,6,6
1/2/2018,-6.1,37,620,1415,221,380,519,152,39900,50800,17600,3070,280,2.6,5,5
1/2/2018,-5,35,619,1415,233,331,281,208,34900,28300,22400,4660,260,2.6,8,8
1/2/2018,-3.9,35,552,1415,245,221,118,175,24000,11500,19400,4080,250,2.1,10,10
1/2/2018,-3.3,33,423,1415,229,85,0,85,9700,0,9700,3300,200,2.1,7,7
1/2/2018,-3.9,35,241,1415,233,76,87,62,8400,6300,7300,1320,70,1.5,8,8
1/2/2018,-4.4,32,42,884,246,4,22,4,600,800,600,70,110,2.6,10,10
1/2/2018,-4.4,26,0,0,235,0,0,0,0,0,0,0,60,3.6,8,8
1/2/2018,-5,27,0,0,247,0,0,0,0,0,0,0,90,3.1,10,10
1/2/2018,-5.6,26,0,0,249,0,0,0,0,0,0,0,60,4.1,10,10
1/2/2018,-6.7,29,0,0,251,0,0,0,0,0,0,0,60,5.7,10,10
1/2/2018,-7.2,29,0,0,251,0,0,0,0,0,0,0,60,4.6,10,10
1/2/2018,-7.2,30,0,0,251,0,0,0,0,0,0,0,70,4.1,10,10
1/2/2018,-7.2,35,0,0,255,0,0,0,0,0,0,0,60,6.2,10,10
1/3/2018,-7.2,46,0,0,258,0,0,0,0,0,0,0,50,7.2,10,10
1/3/2018,-7.2,62,0,0,267,0,0,0,0,0,0,0,60,6.2,10,10
1/3/2018,-8.3,72,0,0,277,0,0,0,0,0,0,0,70,5.7,10,10
1/3/2018,-8.3,85,0,0,296,0,0,0,0,0,0,0,90,10.8,10,10
1/3/2018,-8.3,76,0,0,303,0,0,0,0,0,0,0,90,12.4,10,10
1/3/2018,-8.3,93,0,0,307,0,0,0,0,0,0,0,90,11.3,10,10
1/3/2018,-8.3,92,0,0,316,0,0,0,0,0,0,0,90,12.4,10,10
1/3/2018,-8.3,93,46,932,328,1,0,1,100,0,100,40,100,13.4,10,10
1/3/2018,-7.8,93,247,1415,331,26,0,26,3100,0,3100,1050,100,14.9,10,10
1/3/2018,-7.2,93,427,1415,341,48,0,48,5800,0,5800,2070,120,14.4,10,10
1/3/2018,-5.6,94,555,1415,353,64,0,64,7700,0,7700,2890,110,3.6,10,10
1/3/2018,-3.9,96,622,1415,345,68,0,68,8300,0,8300,3160,10,3.1,10,10
1/3/2018,-2.8,96,621,1415,342,77,0,77,9300,0,9300,3530,60,6.7,10,10
1/3/2018,-1.7,96,555,1415,342,63,0,63,7600,0,7600,2850,60,6.2,10,10
1/3/2018,-1.7,100,426,1415,343,43,0,43,5200,0,5200,1870,80,3.6,10,10
1/3/2018,-1.7,100,245,1415,343,54,0,54,6100,0,6100,1890,220,3.6,10,10
1/3/2018,-2.2,92,45,908,316,3,0,3,400,0,400,120,340,8.2,10,10
1/3/2018,-2.8,89,0,0,318,0,0,0,0,0,0,0,290,6.7,10,10
1/3/2018,-2.8,86,0,0,327,0,0,0,0,0,0,0,270,6.2,10,10
1/3/2018,-2.2,86,0,0,324,0,0,0,0,0,0,0,260,8.2,10,10
1/3/2018,-1.7,89,0,0,285,0,0,0,0,0,0,0,260,8.8,3,3
1/3/2018,-2.2,85,0,0,262,0,0,0,0,0,0,0,240,6.7,0,0
1/3/2018,-1.7,88,0,0,252,0,0,0,0,0,0,0,250,8.8,0,0
1/3/2018,-1.7,80,0,0,249,0,0,0,0,0,0,0,260,8.2,0,0
1/4/2018,-2.2,76,0,0,245,0,0,0,0,0,0,0,270,8.8,0,0
1/4/2018,-2.2,72,0,0,243,0,0,0,0,0,0,0,270,9.8,0,0
1/4/2018,-2.2,62,0,0,239,0,0,0,0,0,0,0,270,11.3,0,0
1/4/2018,-2.2,57,0,0,235,0,0,0,0,0,0,0,270,8.2,0,0
1/4/2018,-2.8,57,0,0,230,0,0,0,0,0,0,0,280,8.2,0,0
1/4/2018,-4.4,48,0,0,227,0,0,0,0,0,0,0,280,10.3,0,0
1/4/2018,-4.4,44,0,0,223,0,0,0,0,0,0,0,280,8.2,0,0
1/4/2018,-4.4,44,46,932,231,4,41,3,600,1900,500,60,270,8.8,2,2
1/4/2018,-5.6,44,247,1415,230,105,145,79,11200,10600,9400,1690,280,9.3,1,1
1/4/2018,-5.6,48,428,1415,231,284,520,126,29000,45900,15000,2430,270,9.3,1,1
1/4/2018,-5,46,557,1415,233,378,690,106,39100,64800,13400,2030,270,8.8,1,1
1/4/2018,-5,44,624,1415,232,387,537,149,40700,52600,17400,3000,270,9.8,2,1
1/4/2018,-4.4,46,624,1415,238,308,203,218,33200,20300,24200,5230,270,7.7,2,2
1/4/2018,-5,44,558,1415,243,364,627,116,37300,58600,14100,2190,270,8.2,3,3
1/4/2018,-5,33,429,1415,239,261,614,74,27000,54400,10400,1390,260,8.2,3,3
1/4/2018,-4.4,34,248,1415,238,118,353,56,12300,24900,7900,1010,270,7.7,3,3
1/4/2018,-3.9,36,47,932,236,6,60,5,900,2700,800,100,270,7.7,3,3
1/4/2018,-3.3,38,0,0,234,0,0,0,0,0,0,0,270,9.8,3,3
1/4/2018,-3.3,38,0,0,232,0,0,0,0,0,0,0,280,8.2,2,2
1/4/2018,-4.4,41,0,0,232,0,0,0,0,0,0,0,280,8.8,3,3
1/4/2018,-5,37,0,0,219,0,0,0,0,0,0,0,280,9.3,0,0
1/4/2018,-5.6,39,0,0,218,0,0,0,0,0,0,0,280,9.3,0,0
1/4/2018,-6.1,41,0,0,216,0,0,0,0,0,0,0,280,9.3,0,0
1/4/2018,-7.2,43,0,0,214,0,0,0,0,0,0,0,280,8.2,0,0
1/5/2018,-8.3,43,0,0,214,0,0,0,0,0,0,0,270,7.7,0,0
1/5/2018,-9.4,48,0,0,213,0,0,0,0,0,0,0,270,7.7,0,0
1/5/2018,-10,50,0,0,211,0,0,0,0,0,0,0,280,6.2,0,0
1/5/2018,-10.6,50,0,0,211,0,0,0,0,0,0,0,270,6.2,0,0
1/5/2018,-11.1,52,0,0,209,0,0,0,0,0,0,0,280,5.2,0,0
1/5/2018,-11.7,52,0,0,209,0,0,0,0,0,0,0,280,5.7,0,0
1/5/2018,-12.2,55,0,0,219,0,0,0,0,0,0,0,300,4.6,3,3
1/5/2018,-12.8,53,46,931,221,5,118,2,900,6700,600,80,300,4.6,3,3
1/5/2018,-12.8,53,248,1415,214,140,421,66,14400,29600,9200,1220,280,5.2,0,0
1/5/2018,-11.7,46,429,1415,219,270,564,98,27300,49100,12400,1730,300,5.2,0,0
1/5/2018,-11.1,44,559,1415,223,372,690,98,38600,65200,12700,1910,310,5.7,0,0
1/5/2018,-10.6,39,626,1415,225,436,772,93,45900,75100,12600,1920,310,6.2,0,0
1/5/2018,-10,36,627,1415,228,415,622,138,42400,59300,16100,2650,310,5.2,0,0
1/5/2018,-9.4,34,561,1415,230,358,704,78,37800,67200,11100,1580,330,4.1,0,0
1/5/2018,-9.4,31,433,1415,239,251,528,89,25700,46400,11400,1610,310,4.6,3,3
1/5/2018,-8.9,32,252,1415,237,128,419,52,12900,30300,7500,910,320,4.1,3,3
1/5/2018,-9.4,34,49,955,235,5,7,5,600,300,600,100,300,4.6,3,3
1/5/2018,-10,40,0,0,232,0,0,0,0,0,0,0,320,2.6,3,3
1/5/2018,-10,38,0,0,234,0,0,0,0,0,0,0,340,3.6,4,3
1/5/2018,-10.6,41,0,0,230,0,0,0,0,0,0,0,340,3.1,3,3
1/5/2018,-11.1,40,0,0,232,0,0,0,0,0,0,0,0,0,3,3
1/5/2018,-11.7,46,0,0,233,0,0,0,0,0,0,0,280,4.1,3,3
1/5/2018,-11.7,46,0,0,221,0,0,0,0,0,0,0,360,1.5,0,0
1/5/2018,-12.2,46,0,0,221,0,0,0,0,0,0,0,0,0,0,0
1/6/2018,-12.2,62,0,0,219,0,0,0,0,0,0,0,270,3.6,0,0
1/6/2018,-12.8,50,0,0,220,0,0,0,0,0,0,0,280,4.1,0,0
1/6/2018,-12.8,61,0,0,217,0,0,0,0,0,0,0,260,3.6,0,0
1/6/2018,-12.8,64,0,0,215,0,0,0,0,0,0,0,250,3.6,0,0
1/6/2018,-12.8,67,0,0,214,0,0,0,0,0,0,0,240,3.6,0,0
1/6/2018,-13.3,61,0,0,217,0,0,0,0,0,0,0,240,3.6,1,1
1/6/2018,-13.3,67,0,0,223,0,0,0,0,0,0,0,250,3.6,3,3
1/6/2018,-13.3,68,46,931,216,5,93,3,900,5300,600,110,240,4.6,0,0
1/6/2018,-13.3,50,248,1415,220,131,331,72,13200,23200,9100,1340,230,6.2,0,0
