Qch(tons),P(kW)
3.160614932,1.242537659
3.160614932,1.243136929
3.160614932,1.241556064
3.160614932,1.242803236
3.160614932,1.24183698
3.160614932,1.24356731
3.160614932,1.240945152
3.160614932,1.242384595
3.160614932,1.240918174
3.160614932,1.24064838
3.160614932,1.243085455
3.160614932,1.244153548
3.160614932,1.244689521
3.160614932,1.245092772
3.160614932,1.245029949
3.160614932,1.245084265
3.160614932,1.245167597
3.160614932,1.244972048
3.160614932,1.238960308
3.160614932,1.242061317
3.160614932,1.243672408
3.160614932,1.244560867
3.160614932,1.245057672
3.160614932,1.240336205
3.160614932,1.238625893
3.160614932,1.241372148
3.160614932,1.242905562
3.160614932,1.239063151
3.160614932,1.238174371
3.160614932,1.241349341
3.160614932,1.242976105
3.160614932,1.239153183
3.160614932,1.238268513
3.160614932,1.241444848
3.160614932,1.243071969
3.160614932,1.23924834
3.160614932,1.238363411
3.160614932,1.241540151
3.160614932,1.243167417
3.160614932,1.244059432
3.160614932,1.244557246
3.160614932,1.244952296
3.160614932,1.244750463
3.160614932,1.241113087
3.160614932,1.242737775
3.160614932,1.242555907
3.160614932,1.243365173
3.160614932,1.241910029
3.160614932,1.243165077
3.160614932,1.243015824
3.160614932,1.240454336
3.160614932,1.242436506
3.160614932,1.239014807
3.160614932,1.238216938
3.160614932,1.241412274
3.160614932,1.243043513
3.160614932,1.239221001
3.160614932,1.238336343
3.160614932,1.241513011
3.160614932,1.243140246
3.160614932,1.244032256
3.160614932,1.244530084
3.160614932,1.244925149
3.160614932,1.244915719
3.160614932,1.244966249
3.160614932,1.245264177
3.160614932,1.245233306
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
127.5492388,52.36742242
73.73051232,29.78882398
43.19424191,17.33579706
25.87031852,10.33467952
16.04273255,6.381558477
10.46791541,4.146638705
7.305602374,2.881963319
5.511803782,2.165354009
4.494292041,1.758355499
3.917122453,1.533042778
3.589731662,1.408557055
3.404024384,1.337449346
3.29868493,1.297410445
3.23893285,1.269917495
3.205039469,1.255715907
3.185814011,1.251382066
3.17490869,1.248732404
3.168722827,1.247193634
3.165214001,1.246311155
3.163223677,1.245922889
3.1620947,1.245468829
