timestamp,tempm,hum,Extraterrestrial Horizontal Radiation {Wh/m2},Extraterrestrial Direct Normal Radiation {Wh/m2},Horizontal Infrared Radiation Intensity from Sky {Wh/m2},Global Horizontal Radiation {Wh/m2},Direct Normal Radiation {Wh/m2},Diffuse Horizontal Radiation {Wh/m2},Global Horizontal Illuminance {lux},Direct Normal Illuminance {lux},Diffuse Horizontal Illuminance {lux},Zenith Luminance {Cd/m2},wdird,wspdm,Total Sky Cover {.1},Opaque Sky Cover {.1}
1/1/12 00:00,-12.2,73,0,0,218,0,0,0,0,0,0,0,270,2.6,9,9
1/1/12 01:00,-11.7,73,0,0,227,0,0,0,0,0,0,0,250,2.6,10,10
1/1/12 02:00,-11.1,73,0,0,230,0,0,0,0,0,0,0,240,2.1,10,10
1/1/12 03:00,-11.1,73,0,0,230,0,0,0,0,0,0,0,230,2.6,10,10
1/1/12 04:00,-10.6,73,0,0,232,0,0,0,0,0,0,0,240,2.6,10,10
1/1/12 05:00,-10.6,73,0,0,232,0,0,0,0,0,0,0,210,2.6,10,10
1/1/12 06:00,-10.6,77,0,0,232,0,0,0,0,0,0,0,180,3.1,10,10
1/1/12 07:00,-10,77,43,908,224,12,22,10,1272,873,1226,205,180,2.6,8,8
1/1/12 08:00,-8.9,71,236,1415,207,115,397,47,11560,28042,6849,828,190,3.1,0,0
1/1/12 09:00,-6.7,60,410,1415,214,244,587,71,24978,51257,10062,1322,220,5.7,2,0
1/1/12 10:00,-5,63,531,1415,221,341,688,80,35572,64725,11177,1581,210,5.7,0,0
1/1/12 11:00,-3.3,63,591,1415,236,364,521,144,38026,50467,16854,2863,220,5.7,6,2
1/1/12 12:00,-2.2,63,586,1415,256,231,151,168,25174,14990,18939,3969,230,5.2,10,8
1/1/12 13:00,-1.1,61,516,1415,267,180,54,161,19805,5145,17920,4317,260,4.1,10,9
1/1/12 14:00,-1.1,64,386,1415,267,118,93,93,13001,8251,10739,2056,260,3.1,9,9
1/1/12 15:00,-1.1,69,206,1415,276,48,36,43,5294,2635,4908,1083,210,1.5,10,10
1/1/12 16:00,-1.1,69,25,696,276,5,0,5,0,0,0,0,0,0,10,10
1/1/12 17:00,-1.7,72,0,0,273,0,0,0,0,0,0,0,0,0,10,10
