Qch(tons),Qin(MMBtu/h)
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
9.43E-02,0.172762469
9.32E-02,0.170865266
9.31E-02,0.170732603
9.31E-02,0.170671851
9.31E-02,0.170590101
9.30E-02,0.170493795
9.30E-02,0.170387798
9.29E-02,0.170297827
9.29E-02,0.170216177
9.28E-02,0.17013987
9.28E-02,0.170064289
9.27E-02,0.169985303
9.27E-02,0.169903882
9.27E-02,0.169833639
9.26E-02,0.169767726
9.26E-02,0.169687899
9.25E-02,0.169603198
9.25E-02,0.169528322
9.25E-02,0.16946173
9.24E-02,0.169397142
9.24E-02,0.169331544
9.23E-02,0.169277415
9.23E-02,0.169229278
9.23E-02,0.169176166
9.23E-02,0.169117245
9.22E-02,0.169066297
9.22E-02,0.169018766
9.22E-02,0.168961881
9.21E-02,0.168915313
9.21E-02,0.168897616
9.21E-02,0.168911492
9.22E-02,0.168979598
9.22E-02,0.169070561
9.23E-02,0.169168511
9.23E-02,0.169271073
9.24E-02,0.169374597
9.24E-02,0.169477001
9.27E-02,0.16988898
9.28E-02,0.170195848
9.30E-02,0.170399207
9.31E-02,0.170594719
9.32E-02,0.170785361
9.33E-02,0.170980537
9.39E-02,0.172106181
9.36E-02,0.171568707
9.36E-02,0.171630943
9.39E-02,0.172031701
9.42E-02,0.172597224
9.45E-02,0.173260213
9.49E-02,0.174020841
9.54E-02,0.174837157
9.59E-02,0.175702331
9.63E-02,0.176571958
9.67E-02,0.177264458
9.70E-02,0.17773705
9.72E-02,0.178086223
9.74E-02,0.178484323
9.76E-02,0.178902165
