lambda_elec_fromgrid,lambda_elec_togrid,lambda_gas,lambda_diesel,E_load,Q_loadheat,Q_loadcool,E_PV
0.06,0,6,24,525.6428823,2.085443106,0.032263549,0
0.06,0,6,24,526.3821637,2.337967539,0.032418924,0
0.06,0,6,24,524.9315664,2.390166652,0.032129456,0
0.06,0,6,24,521.3245884,2.521405358,0.031412075,0
0.06,0,6,24,528.9107191,2.351372067,0.031435673,0
0.08,0,6,24,532.0128345,2.339401168,0.031608587,0
0.08,0,6,24,581.9588417,2.279520247,0.030715533,0
0.08,0,6,24,695.2686042,5.353732352,0.030199728,0.007041507
0.12,0,6,24,714.3657781,2.969494299,0.03088362,17.07760009
0.12,0,6,24,808.026138,2.599218659,0.032409665,242.3129501
0.12,0,6,24,840.5698038,2.542881276,0.033773207,359.036072
0.12,0,6,24,850.9465012,2.47757617,0.035348506,585.1746739
0.12,0,6,24,819.8157207,2.432913887,0.035781512,639.0185086
0.12,0,6,24,811.419412,2.37545419,0.035580368,635.7502833
0.12,0,6,24,809.6964163,2.312424008,0.035232167,528.1507217
0.08,0,6,24,736.5512631,1.719216929,0.035449602,400.0866591
0.08,0,6,24,745.8136219,1.852683634,0.035775877,236.1699629
0.08,0,6,24,708.5918684,1.920441854,0.034368288,64.69892522
0.08,0,6,24,666.5242045,1.948534835,0.033654174,0.805086552
0.06,0,6,24,660.9050878,1.984895714,0.033897227,0
0.06,0,6,24,554.5489219,2.120802384,0.033798147,0
0.06,0,6,24,555.1019707,2.102623879,0.033965715,0
0.06,0,6,24,538.4355141,2.087075432,0.032565366,0
0.06,0,6,24,539.0947756,2.060135962,0.032170526,0
